Disease,MMWR year,MMWR week,Current week
"Q fever¶, acute",2018,1,
"Q fever¶, chronic",2018,1,
"Rabies, human",2018,1,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,1,
Smallpox,2018,1,
Streptococcal toxic-shock syndrome¶,2018,1,
"Syphilis, congenital",2018,1,
Toxic-shock syndrome (other than Streptococcal)¶,2018,1,
Trichinellosis¶,2018,1,
Tularemia,2018,1,1
Typhoid fever ,2018,1,1
Vancomycin-intermediate Staphylococcus aureus¶,2018,1,1
Vancomycin-resistant Staphylococcus aureus¶,2018,1,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,1,
"Viral hemorrhagic fevers***, Ebola virus ",2018,1,
"Viral hemorrhagic fevers***, Guanarito virus",2018,1,
"Viral hemorrhagic fevers***, Junin virus",2018,1,
"Viral hemorrhagic fevers***, Lassa virus",2018,1,
"Viral hemorrhagic fevers***, Lujo virus",2018,1,
"Viral hemorrhagic fevers***, Machupo virus",2018,1,
"Viral hemorrhagic fever***, Marburg virus",2018,1,
"Viral hemorrhagic fever***, Sabia virus",2018,1,
Yellow fever,2018,1,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,2,
Smallpox,2018,2,
"Meningococcal disease, Unknown serogroup",2018,2,5
Diphtheria,2018,2,
Vancomycin-resistant Staphylococcus aureus¶,2018,2,
"Viral hemorrhagic fevers***, Ebola virus ",2018,2,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,2,
"Viral hemorrhagic fever***, Sabia virus",2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,2,
Toxic-shock syndrome (other than Streptococcal)¶,2018,2,
Typhoid fever ,2018,2,4
"Q fever¶, total",2018,2,
Hansen's disease¶,2018,2,
"Botulism, foodborne",2018,2,
"Viral hemorrhagic fevers***, Machupo virus",2018,2,
"Viral hemorrhagic fevers***, Lassa virus",2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,2,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,2,7
Chancroid,2018,2,
"Botulism, infant",2018,2,
Cholera,2018,2,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,2,2
"Botulism, total",2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,2,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,2,1
"Rabies, human",2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,2,
Yellow fever,2018,2,
"Viral hemorrhagic fevers***, Lujo virus",2018,2,
Plague,2018,2,
"Polio virus Infection, nonparalytic¶",2018,2,
Vancomycin-intermediate Staphylococcus aureus¶,2018,2,
"Hepatitis B, perinatal infection",2018,2,
"Viral hemorrhagic fever***, Marburg virus",2018,2,
Listeriosis,2018,2,4
"Meningococcal disease, Serogroup B",2018,2,
"Q fever¶, acute",2018,2,
Streptococcal toxic-shock syndrome¶,2018,2,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,2,
Brucellosis,2018,2,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,2,
"Viral hemorrhagic fevers***, Guanarito virus",2018,2,
Brucellosis,2018,4,
"Meningococcal disease, Serogroups ACWY",2018,2,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,2,
Anthrax,2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,2,
Measles††,2018,2,
Leptospirosis¶,2018,2,
"Q fever¶, chronic",2018,2,
Hantavirus pulmonary syndrome¶ ,2018,2,
"Viral hemorrhagic fevers***, Junin virus",2018,2,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,2,
"Syphilis, congenital",2018,2,
Cyclosporiasis¶,2018,2,1
"Meningococcal disease, Other serogroups",2018,2,
Paratyphoid fever¶¶,2018,2,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,2,
"Botulism, other (wound and unspecified)",2018,2,
"Influenza-associated pediatric mortality¶,**",2018,2,10
Trichinellosis¶,2018,2,
Tularemia,2018,2,
Psittacosis¶,2018,2,
Novel Influenza A virus infections§§,2018,2,
"Poliomyelitis, paralytic",2018,2,
Tularemia,2018,3,1
"Meningococcal disease, Serogroups ACWY",2018,3,
"Meningococcal disease, Other serogroups",2018,3,
"Viral hemorrhagic fevers***, Lujo virus",2018,3,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,3,
Hansen's disease¶,2018,3,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,3,
Vancomycin-intermediate Staphylococcus aureus¶,2018,3,
"Viral hemorrhagic fevers***, Machupo virus",2018,3,
Anthrax,2018,3,
Measles††,2018,3,1
Smallpox,2018,3,
"Botulism, infant",2018,3,
"Viral hemorrhagic fevers***, Ebola virus ",2018,3,
Novel Influenza A virus infections§§,2018,3,
"Botulism, total",2018,3,
Typhoid fever ,2018,3,
"Q fever¶, acute",2018,3,1
Brucellosis,2018,3,
"Meningococcal disease, Unknown serogroup",2018,3,5
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,3,
"Viral hemorrhagic fevers***, Guanarito virus",2018,3,
"Q fever¶, total",2018,3,1
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,3,
Toxic-shock syndrome (other than Streptococcal)¶,2018,3,
"Syphilis, congenital",2018,3,
Trichinellosis¶,2018,3,
Streptococcal toxic-shock syndrome¶,2018,3,1
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,3,2
"Viral hemorrhagic fevers***, Junin virus",2018,3,
"Viral hemorrhagic fevers***, Lassa virus",2018,3,
Listeriosis,2018,4,2
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,3,
Leptospirosis¶,2018,3,
Cyclosporiasis¶,2018,3,
Plague,2018,3,
"Polio virus Infection, nonparalytic¶",2018,3,
Chancroid,2018,3,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,3,
Yellow fever,2018,3,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,3,
Diphtheria,2018,3,
Listeriosis,2018,3,2
"Botulism, foodborne",2018,3,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,3,
"Poliomyelitis, paralytic",2018,3,
"Influenza-associated pediatric mortality¶,**",2018,3,7
"Rabies, human",2018,3,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,3,
Hantavirus pulmonary syndrome¶ ,2018,3,
"Viral hemorrhagic fever***, Marburg virus",2018,3,
"Hepatitis B, perinatal infection",2018,3,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,3,
Cholera,2018,3,
Paratyphoid fever¶¶,2018,3,1
"Botulism, other (wound and unspecified)",2018,3,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,3,
Vancomycin-resistant Staphylococcus aureus¶,2018,3,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,3,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,3,
Psittacosis¶,2018,3,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,3,
"Viral hemorrhagic fever***, Sabia virus",2018,3,
"Meningococcal disease, Serogroup B",2018,3,
"Q fever¶, chronic",2018,3,
Anthrax,2018,4,
"Meningococcal disease, Serogroup B",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,4,
"Hepatitis B, perinatal infection",2018,4,
"Meningococcal disease, Serogroups ACWY",2018,4,1
Diphtheria,2018,4,
Cyclosporiasis¶,2018,4,
"Viral hemorrhagic fevers***, Guanarito virus",2018,4,
"Botulism, infant",2018,4,
"Viral hemorrhagic fever***, Marburg virus",2018,4,
Vancomycin-intermediate Staphylococcus aureus¶,2018,4,1
Cholera,2018,4,
"Q fever¶, acute",2018,4,
Leptospirosis¶,2018,4,1
"Viral hemorrhagic fevers***, Junin virus",2018,4,
"Polio virus Infection, nonparalytic¶",2018,4,
Yellow fever,2018,4,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,4,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,4,
"Viral hemorrhagic fever***, Sabia virus",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,4,
"Botulism, foodborne",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,4,
"Meningococcal disease, Unknown serogroup",2018,4,1
Paratyphoid fever¶¶,2018,4,
"Viral hemorrhagic fevers***, Lujo virus",2018,4,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,4,
Trichinellosis¶,2018,4,
"Rabies, human",2018,4,
"Botulism, other (wound and unspecified)",2018,4,
Chancroid,2018,4,
"Q fever¶, chronic",2018,4,
"Viral hemorrhagic fevers***, Lassa virus",2018,4,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,4,
"Q fever¶, total",2018,4,
Toxic-shock syndrome (other than Streptococcal)¶,2018,4,
"Viral hemorrhagic fevers***, Ebola virus ",2018,4,
Novel Influenza A virus infections§§,2018,4,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,4,1
Hansen's disease¶,2018,4,
"Meningococcal disease, Other serogroups",2018,4,
Measles††,2018,4,6
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,4,
"Syphilis, congenital",2018,4,
"Botulism, total",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,4,
Smallpox,2018,4,
Plague,2018,4,
Streptococcal toxic-shock syndrome¶,2018,4,3
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,4,3
"Poliomyelitis, paralytic",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,4,
Psittacosis¶,2018,4,
Vancomycin-resistant Staphylococcus aureus¶,2018,4,
Tularemia,2018,4,
"Viral hemorrhagic fevers***, Machupo virus",2018,4,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,4,
Hantavirus pulmonary syndrome¶ ,2018,4,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,4,1
"Influenza-associated pediatric mortality¶,**",2018,4,17
Typhoid fever ,2018,4,2
"Meningococcal disease, Unknown serogroup",2018,5,3
"Viral hemorrhagic fevers***, Ebola virus ",2018,5,
Streptococcal toxic-shock syndrome¶,2018,5,
"Rabies, human",2018,5,
Leptospirosis¶,2018,5,
"Viral hemorrhagic fevers***, Lassa virus",2018,5,
Yellow fever,2018,5,
"Poliomyelitis, paralytic",2018,5,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,5,
Typhoid fever ,2018,5,2
"Viral hemorrhagic fevers***, Guanarito virus",2018,5,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,5,1
"Meningococcal disease, Serogroup B",2018,5,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,5,
"Viral hemorrhagic fever***, Sabia virus",2018,5,
Hantavirus pulmonary syndrome¶ ,2018,5,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,5,
Paratyphoid fever¶¶,2018,5,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,5,
Hansen's disease¶,2018,5,
"Botulism, infant",2018,5,1
Plague,2018,5,
"Polio virus Infection, nonparalytic¶",2018,5,
"Q fever¶, chronic",2018,5,1
"Meningococcal disease, Other serogroups",2018,5,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,5,
"Q fever¶, total",2018,5,2
"Influenza-associated pediatric mortality¶,**",2018,5,10
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,5,
Psittacosis¶,2018,5,
Listeriosis,2018,5,1
Measles††,2018,5,
Toxic-shock syndrome (other than Streptococcal)¶,2018,5,
Cholera,2018,5,
"Viral hemorrhagic fevers***, Machupo virus",2018,5,
Novel Influenza A virus infections§§,2018,5,
"Viral hemorrhagic fevers***, Junin virus",2018,5,
Chancroid,2018,5,
Tularemia,2018,5,
"Viral hemorrhagic fever***, Marburg virus",2018,5,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,5,
Vancomycin-resistant Staphylococcus aureus¶,2018,5,
Diphtheria,2018,5,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,5,7
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,5,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,5,
"Meningococcal disease, Serogroups ACWY",2018,5,1
"Q fever¶, acute",2018,5,1
"Syphilis, congenital",2018,5,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,5,
Cyclosporiasis¶,2018,5,
"Botulism, other (wound and unspecified)",2018,5,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,5,
Brucellosis,2018,5,
Anthrax,2018,5,
"Botulism, foodborne",2018,5,
Trichinellosis¶,2018,5,
"Hepatitis B, perinatal infection",2018,5,
Vancomycin-intermediate Staphylococcus aureus¶,2018,5,
Smallpox,2018,5,
"Botulism, total",2018,5,1
"Hemolytic uremic syndrome, postdiarrheal¶",2018,5,
"Viral hemorrhagic fevers***, Lujo virus",2018,5,
Tularemia,2018,6,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,5,
Brucellosis,2018,6,
"Q fever¶, chronic",2018,6,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,6,
"Viral hemorrhagic fever***, Marburg virus",2018,6,
"Hepatitis B, perinatal infection",2018,6,
"Botulism, other (wound and unspecified)",2018,6,
"Botulism, infant",2018,6,1
"Viral hemorrhagic fevers***, Ebola virus ",2018,6,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,6,3
"Viral hemorrhagic fevers***, Machupo virus",2018,6,
Vancomycin-resistant Staphylococcus aureus¶,2018,6,
"Rabies, human",2018,6,
Measles††,2018,6,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,6,
"Meningococcal disease, Other serogroups",2018,6,
"Viral hemorrhagic fevers***, Junin virus",2018,6,
"Viral hemorrhagic fevers***, Lujo virus",2018,6,
Toxic-shock syndrome (other than Streptococcal)¶,2018,6,
Anthrax,2018,6,
Psittacosis¶,2018,6,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,6,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,6,
"Viral hemorrhagic fevers***, Guanarito virus",2018,6,
Smallpox,2018,6,
"Meningococcal disease, Serogroups ACWY",2018,6,1
Novel Influenza A virus infections§§,2018,6,
Streptococcal toxic-shock syndrome¶,2018,6,2
Trichinellosis¶,2018,6,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,6,
"Influenza-associated pediatric mortality¶,**",2018,6,22
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,6,1
Leptospirosis¶,2018,6,
Hansen's disease¶,2018,6,
Diphtheria,2018,6,
"Botulism, total",2018,6,1
"Viral hemorrhagic fever***, Sabia virus",2018,6,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,6,
Paratyphoid fever¶¶,2018,6,
"Poliomyelitis, paralytic",2018,6,
Yellow fever,2018,6,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,6,1
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,6,
Hantavirus pulmonary syndrome¶ ,2018,6,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,6,
"Meningococcal disease, Serogroup B",2018,6,
Listeriosis,2018,6,2
Typhoid fever ,2018,6,1
Vancomycin-intermediate Staphylococcus aureus¶,2018,6,
Cyclosporiasis¶,2018,6,
"Meningococcal disease, Unknown serogroup",2018,6,1
Cholera,2018,6,
"Q fever¶, total",2018,6,
"Syphilis, congenital",2018,6,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,6,5
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,6,
Plague,2018,6,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,6,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,6,
"Q fever¶, acute",2018,6,
"Viral hemorrhagic fevers***, Lassa virus",2018,6,
Chancroid,2018,6,
"Botulism, foodborne",2018,6,
"Polio virus Infection, nonparalytic¶",2018,6,
Typhoid fever ,2018,7,2
Leptospirosis¶,2018,7,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,7,
Paratyphoid fever¶¶,2018,7,
"Viral hemorrhagic fevers***, Lujo virus",2018,7,
Measles††,2018,7,1
"Botulism, infant",2018,7,2
Tularemia,2018,7,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,7,1
"Poliomyelitis, paralytic",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,7,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,7,
"Q fever¶, chronic",2018,7,
Psittacosis¶,2018,7,
"Q fever¶, total",2018,7,
"Viral hemorrhagic fever***, Marburg virus",2018,7,
"Viral hemorrhagic fevers***, Lassa virus",2018,7,
Anthrax,2018,7,
Streptococcal toxic-shock syndrome¶,2018,7,1
Smallpox,2018,7,
"Viral hemorrhagic fever***, Sabia virus",2018,7,
"Botulism, other (wound and unspecified)",2018,7,
Cyclosporiasis¶,2018,7,
Toxic-shock syndrome (other than Streptococcal)¶,2018,7,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,7,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,7,
"Viral hemorrhagic fevers***, Ebola virus ",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,7,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,7,2
Vancomycin-resistant Staphylococcus aureus¶,2018,7,
"Viral hemorrhagic fevers***, Machupo virus",2018,7,
"Botulism, total",2018,7,2
"Meningococcal disease, Other serogroups",2018,7,
"Influenza-associated pediatric mortality¶,**",2018,7,13
"Syphilis, congenital",2018,7,
Diphtheria,2018,7,
"Botulism, foodborne",2018,7,
"Meningococcal disease, Unknown serogroup",2018,7,2
"Meningococcal disease, Serogroup B",2018,7,
Anthrax,2018,8,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,7,1
"Rabies, human",2018,7,
"Meningococcal disease, Serogroups ACWY",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,7,
"Hepatitis B, perinatal infection",2018,7,
Vancomycin-intermediate Staphylococcus aureus¶,2018,7,
"Q fever¶, acute",2018,7,
Brucellosis,2018,7,
Novel Influenza A virus infections§§,2018,7,
Cholera,2018,7,
Chancroid,2018,7,
Plague,2018,7,
"Viral hemorrhagic fevers***, Junin virus",2018,7,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,7,
"Viral hemorrhagic fevers***, Guanarito virus",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,7,
"Polio virus Infection, nonparalytic¶",2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,7,
Listeriosis,2018,7,6
Trichinellosis¶,2018,7,
Yellow fever,2018,7,
Hansen's disease¶,2018,7,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,7,
Hantavirus pulmonary syndrome¶ ,2018,7,
Leptospirosis¶,2018,8,
"Meningococcal disease, Unknown serogroup",2018,8,1
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,8,
"Q fever¶, acute",2018,8,
"Viral hemorrhagic fever***, Marburg virus",2018,8,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,8,
Brucellosis,2018,8,1
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,8,
Streptococcal toxic-shock syndrome¶,2018,8,
Chancroid,2018,8,
Novel Influenza A virus infections§§,2018,8,
"Meningococcal disease, Serogroup B",2018,8,1
Plague,2018,8,
"Influenza-associated pediatric mortality¶,**",2018,8,17
"Meningococcal disease, Serogroups ACWY",2018,8,1
Yellow fever,2018,8,
Psittacosis¶,2018,8,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,8,1
"Botulism, other (wound and unspecified)",2018,8,
Vancomycin-resistant Staphylococcus aureus¶,2018,8,
Measles††,2018,8,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,8,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,8,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,8,
"Botulism, total",2018,8,2
"Meningococcal disease, Other serogroups",2018,8,
Hantavirus pulmonary syndrome¶ ,2018,8,
"Polio virus Infection, nonparalytic¶",2018,8,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,8,
"Rabies, human",2018,8,
Smallpox,2018,8,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,8,
"Hepatitis B, perinatal infection",2018,8,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,8,1
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,8,1
"Viral hemorrhagic fevers***, Junin virus",2018,8,
Listeriosis,2018,8,4
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,8,
Paratyphoid fever¶¶,2018,8,
"Viral hemorrhagic fevers***, Lassa virus",2018,8,
Typhoid fever ,2018,8,
"Botulism, foodborne",2018,8,1
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,8,
"Botulism, infant",2018,8,1
"Poliomyelitis, paralytic",2018,8,
Tularemia,2018,8,
"Viral hemorrhagic fevers***, Guanarito virus",2018,8,
"Viral hemorrhagic fevers***, Lujo virus",2018,8,
"Viral hemorrhagic fever***, Sabia virus",2018,8,
"Viral hemorrhagic fevers***, Ebola virus ",2018,8,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,8,
Cyclosporiasis¶,2018,8,
Trichinellosis¶,2018,8,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,8,
"Q fever¶, total",2018,8,
"Viral hemorrhagic fevers***, Machupo virus",2018,8,
Toxic-shock syndrome (other than Streptococcal)¶,2018,8,
Vancomycin-intermediate Staphylococcus aureus¶,2018,8,1
Cholera,2018,8,
"Q fever¶, chronic",2018,8,
"Syphilis, congenital",2018,8,
Diphtheria,2018,8,
Hansen's disease¶,2018,8,
Streptococcal toxic-shock syndrome¶,2018,9,4
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,9,
"Viral hemorrhagic fever***, Marburg virus",2018,9,
Diphtheria,2018,9,
Chancroid,2018,9,
Paratyphoid fever¶¶,2018,9,1
Tularemia,2018,9,
"Poliomyelitis, paralytic",2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,9,
"Viral hemorrhagic fevers***, Machupo virus",2018,9,
"Polio virus Infection, nonparalytic¶",2018,9,
Listeriosis,2018,9,2
Cyclosporiasis¶,2018,9,
"Meningococcal disease, Unknown serogroup",2018,9,4
Hansen's disease¶,2018,9,
"Influenza-associated pediatric mortality¶,**",2018,9,5
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,9,
"Q fever¶, chronic",2018,9,1
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,9,2
"Meningococcal disease, Serogroup B",2018,9,
Toxic-shock syndrome (other than Streptococcal)¶,2018,9,
"Viral hemorrhagic fevers***, Lassa virus",2018,9,
"Botulism, total",2018,9,
Vancomycin-resistant Staphylococcus aureus¶,2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,9,
"Viral hemorrhagic fevers***, Lujo virus",2018,9,
Leptospirosis¶,2018,9,
"Viral hemorrhagic fevers***, Guanarito virus",2018,9,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,9,
