Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2014, flag",Location 1,Location 2
NEW JERSEY,2015,7,,-,0,,7,,1,,2,,,-,1,,6,,,-,2,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.130571, -74.273688)",
OKLAHOMA,2015,14,1,,0,,20,,2,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
FLORIDA,2015,7,,-,0,,3,,1,,,-,1,,0,,2,,1,,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
SOUTH CAROLINA,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.998822, -81.045366)",
IDAHO,2015,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
ALABAMA,2015,5,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
FLORIDA,2015,6,,-,0,,3,,1,,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
VERMONT,2015,13,,-,0,,1,,,-,,-,,-,1,,6,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
ALABAMA,2015,13,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
SOUTH DAKOTA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
ALASKA,2015,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
HAWAII,2015,4,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
TEXAS,2015,15,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
NEVADA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
NEW YORK,2015,12,1,,1,,12,,1,,1,,,-,7,,34,,5,,7,,,-,0,,1,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
ILLINOIS,2015,2,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
WEST VIRGINIA,2015,5,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
HAWAII,2015,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
VERMONT,2015,12,,-,0,,1,,,-,,-,,-,1,,6,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
MICHIGAN,2015,7,,-,0,,2,,,-,,-,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
KANSAS,2015,16,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347743, -98.200778)",
RHODE ISLAND,2015,15,,-,0,,4,,3,,1,,,-,1,,11,,2,,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
WISCONSIN,2015,1,,-,0,,2,,,-,,-,,-,4,,47,,,-,2,,,-,0,,5,,,-,,-,"WISCONSIN
(44.393191, -89.816366)",
OREGON,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
GEORGIA,2015,15,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
TENNESSEE,2015,3,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.680941, -85.774487)",
CONNECTICUT,2015,13,,-,0,,0,,,-,,-,,-,0,,11,,1,,2,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
PUERTO RICO,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
NORTH DAKOTA,2015,6,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
MAINE,2015,7,,-,0,,1,,1,,,-,,-,3,,13,,,-,3,,,-,0,,2,,,-,,-,"MAINE
(45.254229, -68.985026)",
DELAWARE,2015,7,,-,0,,5,,,-,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
SOUTH DAKOTA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
FLORIDA,2015,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
OREGON,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
IDAHO,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
MICHIGAN,2015,10,,-,0,,2,,,-,,-,,-,0,,2,,2,,,-,,-,0,,0,,,-,1,,"MICHIGAN
(44.661322, -84.714386)",
KANSAS,2015,15,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347743, -98.200778)",
ILLINOIS,2015,16,,-,0,,5,,1,,3,,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
NEW MEXICO,2015,7,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520881, -106.240578)",
CALIFORNIA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.638642, -120.999996)",
OKLAHOMA,2015,9,,-,0,,19,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
KENTUCKY,2015,15,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
ALASKA,2015,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
PUERTO RICO,2015,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
INDIANA,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,7,,1,,"INDIANA
(39.766913, -86.149956)",
NORTH DAKOTA,2015,7,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
VERMONT,2015,8,,-,0,,1,,,-,,-,,-,1,,6,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
MOUNTAIN,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,
OKLAHOMA,2015,2,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
OHIO,2015,4,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212, -82.404257)",
GEORGIA,2015,10,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
WISCONSIN,2015,6,,-,0,,2,,,-,1,,,-,4,,47,,,-,5,,,-,0,,5,,1,,1,,"WISCONSIN
(44.393191, -89.816366)",
MAINE,2015,16,,-,0,,1,,1,,,-,,-,3,,13,,1,,5,,1,,0,,2,,1,,,-,"MAINE
(45.254229, -68.985026)",
ARKANSAS,2015,6,,-,4,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
NORTH DAKOTA,2015,16,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
TEXAS,2015,10,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.82724, -99.426768)",
GEORGIA,2015,16,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
VIRGIN ISL.,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,VIRGIN ISL.,
NORTH CAROLINA,2015,7,,-,0,,23,,5,,,-,,-,0,,6,,2,,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622, -79.15925)",
GUAM,2015,13,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.480999, 144.731498)",
KANSAS,2015,5,,-,0,,5,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347743, -98.200778)",
NEVADA,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
OHIO,2015,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212, -82.404257)",
VERMONT,2015,6,,-,0,,1,,,-,,-,,-,1,,6,,1,,1,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
MARYLAND,2015,8,,-,0,,5,,,-,1,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
OKLAHOMA,2015,7,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
WASHINGTON,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.522288, -120.470028)",
PENNSYLVANIA,2015,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
NEW MEXICO,2015,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520881, -106.240578)",
ALASKA,2015,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
GEORGIA,2015,11,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
ARIZONA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
ARIZONA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
SOUTH DAKOTA,2015,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
GUAM,2015,15,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.480999, 144.731498)",
OHIO,2015,15,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212, -82.404257)",
NEW YORK,2015,8,,-,1,,12,,,-,1,,2,,7,,34,,3,,7,,,-,0,,2,,,-,,-,"NEW YORK
(42.827004, -75.543966)",
INDIANA,2015,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,7,,1,,"INDIANA
(39.766913, -86.149956)",
OREGON,2015,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745, -120.155029)",
DELAWARE,2015,15,,-,0,,5,,,-,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
MARYLAND,2015,3,,-,0,,5,,,-,1,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"MARYLAND
(39.290583, -76.60926)",
NEW YORK CITY,2015,10,,-,0,,3,,2,,,-,,-,0,,5,,1,,,-,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
OKLAHOMA,2015,3,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472031, -97.521068)",
CONNECTICUT,2015,1,,-,0,,0,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.562661, -72.64984)",
WYOMING,2015,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.235541, -108.109827)",
WEST VIRGINIA,2015,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511, -80.712638)",
NEW HAMPSHIRE,2015,6,,-,0,,1,,,-,,-,,-,1,,11,,,-,1,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
ARIZONA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
NEW HAMPSHIRE,2015,16,,-,0,,2,,1,,,-,,-,2,,12,,2,,2,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.655953, -71.500357)",
HAWAII,2015,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
GEORGIA,2015,7,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GEORGIA
(32.839683, -83.627579)",
COLORADO,2015,16,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
DELAWARE,2015,11,,-,0,,5,,,-,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
FLORIDA,2015,15,2,,0,,3,,3,,3,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"FLORIDA
(28.932043, -81.928958)",
GUAM,2015,10,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,"GUAM
(13.480999, 144.731498)",
OHIO,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OHIO
(40.060212, -82.404257)",
IOWA,2015,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
MINNESOTA,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.355649, -94.7942)",
HAWAII,2015,16,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
PENNSYLVANIA,2015,6,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
ARKANSAS,2015,3,,-,4,,20,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
ILLINOIS,2015,8,,-,0,,5,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ILLINOIS
(40.485012, -88.997709)",
NEBRASKA,2015,9,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
IOWA,2015,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
MAINE,2015,8,,-,0,,1,,1,,,-,,-,3,,13,,,-,3,,,-,0,,2,,,-,,-,"MAINE
(45.254229, -68.985026)",
PENNSYLVANIA,2015,3,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.793734, -77.860697)",
IOWA,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
NEVADA,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.493242, -117.071839)",
SOUTH DAKOTA,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
VERMONT,2015,14,,-,0,,1,,,-,,-,1,,1,,6,,3,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
IDAHO,2015,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
INDIANA,2015,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,7,,1,,"INDIANA
(39.766913, -86.149956)",
NORTH DAKOTA,2015,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475319, -100.118428)",
COLORADO,2015,5,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
MONTANA,2015,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"MONTANA
(47.066528, -109.424416)",
MONTANA,2015,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"MONTANA
(47.066528, -109.424416)",
NEW YORK CITY,2015,15,,-,0,,3,,2,,,-,1,,0,,5,,2,,,-,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.714268, -74.005969)",
DELAWARE,2015,10,,-,0,,5,,,-,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
KENTUCKY,2015,6,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973, -84.774968)",
RHODE ISLAND,2015,2,,-,0,,4,,,-,,-,,-,0,,11,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.708281, -71.522466)",
ALABAMA,2015,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.840572, -86.631857)",
MICHIGAN,2015,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.661322, -84.714386)",
SOUTH DAKOTA,2015,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313, -100.373529)",
VERMONT,2015,15,,-,0,,1,,,-,,-,1,,1,,6,,4,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.625384, -72.517637)",
ARIZONA,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.865974, -111.763807)",
NEBRASKA,2015,15,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.641044, -99.365719)",
MASSACHUSETTS,2015,4,,-,0,,3,,,-,,-,,-,6,,41,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MASSACHUSETTS,2015,5,,-,0,,3,,,-,,-,,-,6,,41,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
