 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,59,,263,,425,,59,,191,,2673,,8355,,9460,,2673,,7884,,35,,80,,161,,35,,134,,,
NEW ENGLAND,2017,1,2,,21,,37,,2,,19,,60,,172,,262,,60,,148,,,-,5,,16,,,-,7,,,
MID. ATLANTIC,2017,28,46,,50,,98,,1176,,1416,,892,,1117,,1359,,31440,,25557,,19,,14,,26,,406,,411,,,
TEXAS,2017,28,,N,0,,0,,,N,,N,720,,862,,1223,,24157,,22256,,4,,6,,38,,187,,159,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,28,,-,2,,12,,9,,92,,205,,228,,517,,6581,,5196,,,-,1,,4,,35,,40,,"LOUISIANA
(31.2931, -92.463284)",
MICHIGAN,2017,28,2,,10,,26,,213,,246,,44,,246,,337,,5581,,6051,,,-,3,,8,,101,,105,,"MICHIGAN
(44.66399, -84.711206)",
AMER. SAMOA,2017,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,28,14,,48,,75,,1087,,1398,,624,,1893,,3743,,46128,,52324,,4,,20,,39,,626,,683,,,
MID. ATLANTIC,2017,1,23,,49,,83,,23,,32,,454,,967,,1203,,454,,1125,,3,,13,,23,,3,,14,,,
NEW YORK CITY,2017,28,20,,18,,34,,480,,460,,340,,422,,513,,12137,,9314,,5,,2,,6,,60,,65,,,
NEW JERSEY,2017,28,,-,7,,17,,130,,236,,80,,168,,205,,4455,,4162,,,-,3,,7,,66,,70,,"NEW JERSEY
(40.104655, -74.386686)",
NEW YORK CITY,2017,1,12,,17,,25,,12,,13,,154,,355,,503,,154,,383,,1,,2,,7,,1,,2,,,
MISSOURI,2017,28,2,,5,,16,,115,,169,,196,,238,,298,,6670,,5802,,1,,2,,9,,80,,96,,"MISSOURI
(38.636168, -92.566292)",
E.N. CENTRAL,2017,1,3,,26,,147,,3,,19,,247,,1180,,1358,,247,,1342,,8,,13,,26,,8,,26,,,
E.N. CENTRAL,2017,28,12,,27,,150,,612,,751,,270,,1380,,1603,,32661,,35286,,5,,15,,36,,428,,462,,,
NEW YORK,2017,28,16,,15,,42,,355,,444,,251,,196,,531,,5260,,4635,,11,,4,,15,,143,,126,,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,28,1,,3,,13,,70,,86,,11,,14,,39,,463,,373,,1,,0,,3,,16,,19,,"IDAHO
(43.680635, -114.364237)",
KENTUCKY,2017,28,,N,0,,0,,,N,,N,187,,130,,275,,3615,,2338,,,-,2,,6,,46,,25,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,28,,-,20,,34,,518,,612,,,-,588,,903,,15529,,14334,,3,,4,,11,,156,,214,,"FLORIDA
(28.915325, -81.922409)",
W.N. CENTRAL,2017,1,1,,16,,41,,1,,17,,219,,509,,629,,219,,555,,3,,5,,12,,3,,12,,,
KANSAS,2017,28,,-,2,,8,,45,,55,,23,,77,,103,,2234,,1580,,,-,1,,5,,30,,38,,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2017,28,146,,261,,982,,6260,,7369,,4745,,9391,,12294,,244962,,234624,,45,,93,,215,,2670,,2780,,,
ILLINOIS,2017,28,,N,0,,0,,,N,,N,25,,357,,515,,6652,,10715,,,-,4,,12,,105,,117,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2017,28,,-,2,,8,,47,,49,,,-,12,,26,,174,,515,,,-,0,,3,,17,,10,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,28,,-,0,,0,,,-,,-,,-,389,,440,,6450,,10042,,,-,3,,10,,91,,110,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,28,,N,0,,0,,,N,,N,,-,2,,10,,64,,74,,,-,0,,2,,8,,7,,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2017,28,,-,10,,21,,217,,292,,,-,119,,159,,3329,,2331,,,-,2,,10,,72,,86,,"MASSACHUSETTS
(42.268546, -72.085064)",
S. ATLANTIC,2017,1,10,,50,,77,,10,,44,,373,,1660,,2421,,373,,1390,,10,,19,,89,,10,,33,,,
ALASKA,2017,28,,-,2,,5,,28,,30,,,-,33,,54,,819,,676,,,-,0,,1,,7,,12,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,28,1,,0,,3,,7,,9,,25,,34,,59,,896,,802,,,-,0,,3,,13,,12,,"DELAWARE
(39.008676, -75.574561)",
W.S. CENTRAL,2017,28,2,,5,,21,,74,,155,,980,,1342,,1714,,36328,,34051,,6,,10,,48,,318,,275,,,
WISCONSIN,2017,28,1,,8,,106,,165,,225,,103,,133,,158,,3462,,3356,,,-,2,,6,,48,,80,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,28,,-,0,,3,,,-,22,,,-,6,,13,,151,,131,,,-,0,,2,,,-,1,,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,28,,-,0,,3,,3,,15,,4,,12,,24,,269,,409,,,-,0,,2,,3,,5,,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2017,28,2,,3,,6,,73,,70,,222,,212,,326,,5572,,5030,,1,,2,,8,,88,,77,,"ARIZONA
(34.869712, -111.760902)",
DIST. OF COL.,2017,28,,-,0,,2,,,-,7,,96,,66,,147,,1751,,1524,,,-,0,,1,,1,,11,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
E.S. CENTRAL,2017,1,2,,4,,13,,2,,3,,18,,470,,722,,18,,341,,3,,7,,19,,3,,19,,,
VIRGIN ISL.,2017,28,,-,0,,0,,,-,,-,,-,0,,3,,1,,22,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,28,13,,10,,16,,226,,211,,,-,133,,178,,3376,,2839,,2,,1,,5,,48,,43,,"COLORADO
(38.841772, -106.132562)",
NEVADA,2017,28,2,,1,,4,,19,,37,,11,,88,,127,,2177,,2101,,,-,1,,3,,24,,22,,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,28,,N,0,,0,,,N,,N,24,,141,,196,,3348,,3952,,2,,1,,8,,59,,48,,"OKLAHOMA
(35.468494, -97.521264)",
W.S. CENTRAL,2017,1,,-,4,,20,,,-,1,,775,,1234,,1683,,775,,1075,,1,,9,,17,,1,,3,,,
MONTANA,2017,40,6,,2,,7,,95,,90,,24,,15,,24,,573,,708,,,-,0,,3,,19,,12,,,
MOUNTAIN,2017,1,13,,14,,33,,13,,12,,80,,496,,692,,80,,429,,5,,7,,14,,5,,14,,,
SOUTH DAKOTA,2017,28,,-,2,,6,,38,,56,,,-,22,,36,,405,,674,,,-,0,,2,,8,,14,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,28,,-,0,,4,,13,,24,,3,,16,,34,,364,,510,,,-,0,,3,,10,,13,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEBRASKA,2017,28,3,,2,,9,,57,,60,,19,,47,,77,,1313,,1105,,3,,1,,4,,28,,22,,"NEBRASKA
(41.640503, -99.367122)",
PACIFIC,2017,1,5,,70,,117,,5,,44,,447,,1491,,1917,,447,,1479,,2,,4,,12,,2,,6,,,
E.S. CENTRAL,2017,28,1,,4,,10,,86,,123,,409,,647,,840,,16953,,15605,,,-,7,,12,,202,,203,,,
RHODE ISLAND,2017,28,3,,1,,9,,22,,32,,,-,9,,213,,399,,265,,,-,0,,12,,10,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2017,28,25,,55,,78,,1480,,1389,,776,,1355,,1590,,37413,,32442,,,-,1,,4,,33,,25,,"CALIFORNIA
(37.640735, -121.002435)",
C.N.M.I.,2017,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PENNSYLVANIA,2017,28,10,,9,,36,,211,,276,,221,,306,,535,,9588,,7446,,3,,5,,11,,137,,150,,"PENNSYLVANIA
(40.789676, -77.858055)",
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MAINE,2017,28,3,,2,,8,,43,,64,,1,,8,,32,,269,,258,,,-,0,,2,,16,,17,,"MAINE
(45.252223, -68.986647)",
WEST VIRGINIA,2017,28,,-,1,,5,,15,,44,,27,,21,,38,,693,,433,,,-,1,,3,,19,,22,,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALASKA,2017,1,,-,2,,5,,,-,2,,,-,25,,49,,,-,25,,,-,0,,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,1,7,,16,,42,,7,,6,,78,,183,,285,,78,,58,,,-,4,,9,,,-,2,,"NEW YORK
(42.826892, -75.544286)",
SOUTH CAROLINA,2017,1,1,,2,,7,,1,,2,,223,,177,,300,,223,,178,,,-,2,,9,,,-,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2017,1,,-,1,,4,,,-,1,,,-,27,,49,,,-,21,,,-,0,,6,,,-,1,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,1,2,,4,,13,,2,,3,,,-,92,,236,,,-,57,,,-,1,,5,,,-,5,,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2017,1,,-,15,,34,,,-,19,,,-,282,,370,,,-,48,,1,,3,,8,,1,,6,,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2017,1,,-,3,,8,,,-,3,,78,,181,,265,,78,,191,,,-,2,,6,,,-,3,,"INDIANA
(39.76845, -86.156212)",
OHIO,2017,1,2,,5,,135,,2,,9,,35,,379,,467,,35,,433,,7,,3,,8,,7,,8,,"OHIO
(40.056807, -82.405897)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2017,1,,-,3,,9,,,-,1,,,-,95,,189,,,-,22,,,-,1,,4,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2017,1,1,,9,,83,,1,,2,,102,,124,,154,,102,,121,,,-,1,,6,,,-,4,,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,99,,123,,,-,105,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2017,1,4,,11,,31,,4,,4,,185,,286,,353,,185,,292,,2,,4,,10,,2,,5,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,1,,-,5,,16,,,-,3,,175,,221,,291,,175,,231,,,-,2,,10,,,-,10,,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2017,1,,N,0,,0,,,N,,N,,-,182,,264,,,-,238,,3,,3,,9,,3,,9,,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2017,1,1,,2,,6,,1,,2,,4,,8,,53,,4,,7,,,-,0,,3,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,1,,-,1,,4,,,-,1,,,-,18,,32,,,-,17,,,-,0,,4,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2017,1,,-,2,,6,,,-,2,,,-,20,,39,,,-,39,,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2017,1,3,,6,,18,,3,,3,,86,,81,,129,,86,,58,,2,,2,,6,,2,,4,,"OREGON
(44.567912, -120.156945)",
UTAH,2017,1,,-,3,,9,,,-,4,,22,,40,,59,,22,,42,,,-,1,,3,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2017,1,,N,0,,0,,,N,,N,,-,118,,177,,,-,32,,,-,1,,5,,,-,1,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2017,1,10,,0,,0,,10,,,-,,-,116,,253,,,-,119,,4,,1,,6,,4,,,-,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2017,1,1,,1,,8,,1,,1,,4,,63,,106,,4,,67,,,-,1,,4,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2017,1,,-,0,,3,,,-,,-,29,,32,,59,,29,,21,,2,,0,,2,,2,,,-,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2017,1,1,,3,,13,,1,,1,,,-,10,,38,,,-,8,,,-,0,,3,,,-,,-,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2017,1,,-,5,,11,,,-,5,,,-,49,,79,,,-,8,,,-,1,,3,,,-,3,,"CONNECTICUT
(41.544654, -72.651713)",
NEW JERSEY,2017,1,,-,3,,13,,,-,9,,37,,148,,392,,37,,392,,,-,2,,8,,,-,5,,"NEW JERSEY
(40.104655, -74.386686)",
ILLINOIS,2017,1,,N,0,,0,,,N,,N,,-,273,,431,,,-,431,,,-,4,,9,,,-,7,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,1,1,,2,,9,,1,,4,,14,,43,,78,,14,,37,,3,,0,,4,,3,,,-,"NEBRASKA
(41.640503, -99.367122)",
WASHINGTON,2017,1,,-,10,,49,,,-,,-,109,,153,,290,,109,,171,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEVADA,2017,1,,-,1,,4,,,-,,-,,-,61,,99,,,-,58,,,-,1,,4,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OKLAHOMA,2017,1,,N,0,,0,,,N,,N,16,,107,,157,,16,,149,,,-,1,,5,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2017,1,,-,5,,12,,,-,3,,,-,135,,776,,,-,332,,,-,2,,6,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
KANSAS,2017,1,,-,2,,6,,,-,5,,18,,65,,88,,18,,60,,,-,1,,5,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2017,1,,-,9,,25,,,-,5,,32,,232,,299,,32,,166,,1,,3,,8,,1,,4,,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2017,1,,-,0,,0,,,-,,-,,-,343,,457,,,-,457,,,-,3,,8,,,-,5,,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST VIRGINIA,2017,1,,-,1,,6,,,-,1,,24,,18,,31,,24,,5,,,-,0,,3,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,1,,N,0,,0,,,N,,N,759,,825,,982,,759,,889,,1,,6,,12,,1,,,-,"TEXAS
(31.827233, -99.423022)",
FLORIDA,2017,1,9,,21,,53,,9,,10,,89,,524,,660,,89,,244,,7,,4,,65,,7,,9,,"FLORIDA
(28.915325, -81.922409)",
MAINE,2017,1,1,,2,,8,,1,,2,,,-,8,,16,,,-,2,,,-,0,,3,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,1,,N,0,,0,,,N,,N,,-,2,,6,,,-,5,,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
CALIFORNIA,2017,1,2,,50,,74,,2,,38,,252,,1205,,1568,,252,,1204,,,-,1,,4,,,-,1,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2017,1,,-,1,,8,,,-,,-,,-,11,,34,,,-,26,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KENTUCKY,2017,1,,N,0,,0,,,N,,N,18,,104,,227,,18,,14,,,-,1,,4,,,-,4,,"KENTUCKY
(37.64591, -84.774043)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MARYLAND,2017,1,,-,4,,11,,,-,7,,8,,158,,243,,8,,24,,,-,2,,6,,,-,6,,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2017,1,,-,11,,18,,,-,10,,56,,90,,145,,56,,100,,,-,2,,8,,,-,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARIZONA,2017,1,1,,2,,7,,1,,4,,53,,189,,274,,53,,109,,1,,2,,11,,1,,11,,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2017,1,,-,1,,11,,,-,,-,,-,213,,675,,,-,15,,,-,1,,5,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,1,,-,0,,2,,,-,2,,,-,64,,137,,,-,81,,,-,0,,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
IOWA,2017,1,,-,4,,13,,,-,2,,12,,48,,66,,12,,66,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MONTANA,2017,1,,-,2,,8,,,-,1,,1,,16,,30,,1,,26,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
PUERTO RICO,2017,1,,-,0,,3,,,-,,-,,-,13,,27,,,-,,-,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2017,1,,-,1,,2,,,-,1,,,-,5,,16,,,-,,-,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2017,2,,-,2,,8,,1,,2,,,-,8,,16,,,-,10,,,-,0,,3,,1,,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2017,2,,-,1,,4,,,-,4,,,-,18,,32,,,-,46,,,-,0,,4,,,-,2,,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,2,,N,0,,0,,,N,,N,,-,2,,6,,,-,7,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2017,2,1,,10,,48,,1,,4,,142,,153,,290,,251,,295,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ILLINOIS,2017,2,,N,0,,0,,,N,,N,14,,278,,353,,83,,777,,,-,4,,9,,1,,12,,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2017,2,,-,3,,8,,,-,5,,58,,180,,265,,191,,373,,,-,2,,6,,,-,8,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,2,,-,2,,6,,,-,4,,,-,20,,34,,,-,58,,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2017,2,,-,0,,0,,,-,,-,,-,350,,403,,,-,842,,,-,3,,8,,2,,7,,"NORTH CAROLINA
(35.47995, -79.180571)",
MID. ATLANTIC,2017,2,17,,49,,83,,42,,82,,737,,957,,1203,,1544,,2104,,4,,13,,23,,10,,29,,,
W.N. CENTRAL,2017,2,3,,15,,41,,4,,31,,187,,507,,629,,498,,1091,,1,,4,,11,,4,,16,,,
E.N. CENTRAL,2017,2,7,,26,,147,,11,,43,,436,,1183,,1394,,1203,,2673,,6,,13,,24,,17,,47,,,
NEW YORK,2017,2,,-,16,,42,,7,,18,,185,,184,,285,,263,,233,,2,,4,,10,,2,,2,,"NEW YORK
(42.826892, -75.544286)",
OKLAHOMA,2017,2,,N,0,,0,,,N,,N,21,,107,,157,,71,,270,,5,,1,,5,,5,,1,,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2017,2,,-,6,,18,,3,,9,,,-,81,,129,,86,,129,,1,,2,,6,,3,,5,,"OREGON
(44.567912, -120.156945)",
NEVADA,2017,2,,-,1,,4,,,-,2,,30,,62,,99,,73,,121,,,-,1,,4,,,-,1,,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,2,,-,0,,3,,,-,,-,,-,32,,59,,29,,45,,,-,0,,2,,2,,1,,"DELAWARE
(39.008676, -75.574561)",
GEORGIA,2017,2,,-,14,,34,,,-,30,,,-,283,,371,,,-,247,,1,,3,,8,,3,,12,,"GEORGIA
(32.836038, -83.631709)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEBRASKA,2017,2,3,,2,,9,,4,,6,,,-,43,,78,,14,,76,,1,,1,,4,,4,,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,2,1,,9,,86,,3,,8,,124,,124,,154,,255,,264,,,-,1,,6,,,-,9,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2017,2,,-,0,,2,,,-,2,,,-,5,,16,,1,,7,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,2,,-,1,,6,,,-,1,,21,,18,,31,,45,,18,,,-,1,,3,,3,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,2,1,,2,,7,,3,,4,,154,,191,,278,,219,,282,,3,,2,,7,,5,,18,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2017,2,,-,2,,8,,,-,1,,,-,16,,30,,1,,56,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,2,87,,272,,445,,170,,441,,4092,,8599,,9775,,9028,,16522,,39,,84,,161,,108,,252,,,
S. ATLANTIC,2017,2,36,,50,,77,,53,,86,,385,,1666,,2421,,771,,2974,,15,,19,,89,,39,,73,,,
ALASKA,2017,2,,-,1,,5,,,-,5,,,-,24,,49,,,-,50,,,-,0,,3,,,-,,-,"ALASKA
(64.836661, -147.738891)",
KENTUCKY,2017,2,,N,0,,0,,,N,,N,,-,104,,227,,18,,55,,,-,1,,3,,3,,4,,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,2,,-,1,,8,,,-,,-,,-,9,,55,,,-,27,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,99,,124,,,-,229,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KANSAS,2017,2,,-,2,,6,,,-,6,,8,,65,,88,,45,,104,,,-,1,,5,,,-,1,,"KANSAS
(38.345528, -98.201847)",
HAWAII,2017,2,,-,0,,4,,,-,2,,,-,27,,49,,,-,38,,,-,0,,6,,,-,2,,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2017,2,2,,3,,9,,2,,3,,,-,95,,189,,,-,115,,,-,1,,4,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2017,2,30,,21,,53,,39,,32,,,-,524,,660,,89,,776,,9,,4,,65,,16,,25,,"FLORIDA
(28.915325, -81.922409)",
UTAH,2017,2,1,,2,,9,,1,,5,,23,,40,,59,,70,,89,,,-,1,,3,,,-,1,,"UTAH
(39.359772, -111.584173)",
NEW YORK CITY,2017,2,13,,17,,25,,25,,27,,247,,350,,503,,556,,742,,,-,2,,7,,1,,2,,,
CALIFORNIA,2017,2,5,,50,,74,,18,,96,,631,,1198,,1574,,1717,,2427,,,-,1,,4,,1,,2,,"CALIFORNIA
(37.640735, -121.002435)",
ALABAMA,2017,2,2,,4,,13,,4,,10,,182,,292,,536,,285,,558,,1,,1,,4,,1,,6,,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,2,,-,5,,16,,,-,4,,168,,221,,291,,390,,469,,,-,2,,7,,,-,12,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2017,2,,-,2,,6,,1,,3,,2,,8,,53,,8,,16,,,-,0,,3,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
E.S. CENTRAL,2017,2,2,,4,,13,,4,,10,,318,,667,,954,,529,,1233,,4,,7,,12,,13,,26,,,
OHIO,2017,2,6,,5,,135,,8,,17,,197,,379,,467,,546,,856,,6,,3,,8,,13,,13,,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2017,2,1,,5,,11,,1,,9,,,-,49,,79,,,-,45,,,-,1,,4,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
NEW ENGLAND,2017,2,1,,21,,37,,3,,36,,2,,165,,262,,64,,295,,,-,5,,16,,2,,15,,,
AMER. SAMOA,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW MEXICO,2017,2,,-,1,,8,,2,,4,,25,,62,,117,,38,,117,,,-,1,,4,,2,,2,,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2017,2,2,,4,,11,,8,,12,,,-,158,,243,,8,,117,,1,,2,,5,,4,,10,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,2,,-,3,,13,,,-,18,,55,,148,,188,,209,,559,,,-,2,,8,,,-,10,,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2017,2,,-,0,,3,,,-,,-,,-,13,,27,,1,,16,,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DIST. OF COL.,2017,2,,-,0,,2,,,-,3,,146,,62,,137,,159,,107,,,-,0,,3,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,2,,N,0,,0,,,N,,N,887,,822,,981,,1660,,1707,,,-,6,,17,,1,,2,,"TEXAS
(31.827233, -99.423022)",
W.S. CENTRAL,2017,2,2,,4,,20,,2,,3,,908,,1234,,1683,,1731,,2316,,5,,10,,19,,8,,12,,,
MISSISSIPPI,2017,2,,N,0,,0,,,N,,N,88,,118,,194,,96,,145,,,-,1,,5,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2017,2,1,,6,,12,,2,,5,,,-,131,,776,,,-,419,,,-,2,,6,,,-,6,,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2017,2,,-,1,,11,,,-,,-,,-,213,,675,,,-,224,,,-,1,,5,,2,,8,,"LOUISIANA
(31.2931, -92.463284)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
