Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2
MISSOURI,2019,1,,-,19,,,-,,-,,-,29,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2019,1,6,,20,,6,,10,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2019,1,1,,21,,1,,2,,,-,398,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2019,1,,-,40,,,-,7,,,-,75,,,-,,-,"IOWA
(42.46942, -93.815856)",
VERMONT,2019,1,,-,10,,,-,,-,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2019,1,8,,36,,8,,6,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
OREGON,2019,1,3,,12,,3,,7,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
IDAHO,2019,1,,-,7,,,-,1,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2019,1,,-,14,,,-,4,,,-,5,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2019,1,,-,17,,,-,3,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
COLORADO,2019,1,1,,11,,1,,2,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2019,1,,-,12,,,-,6,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2019,1,,-,5,,,-,2,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2019,1,1,,6,,1,,1,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW JERSEY,2019,1,,-,12,,,-,3,,,-,8,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW YORK,2019,1,,-,20,,,-,,-,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WISCONSIN,2019,1,3,,47,,3,,11,,,-,14,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
MAINE,2019,1,,-,6,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2019,1,1,,25,,1,,5,,,-,23,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2019,1,,-,8,,,-,2,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
MARYLAND,2019,1,,-,7,,,-,1,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2019,1,,-,1,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PUERTO RICO,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TEXAS,2019,1,,-,53,,,-,1,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2019,1,,-,7,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2019,1,1,,19,,1,,2,,,-,6,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2019,1,,-,7,,,-,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MONTANA,2019,1,,-,5,,,-,2,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
LOUISIANA,2019,2,,-,5,,,-,7,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2019,2,1,,18,,1,,3,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEVADA,2019,2,,-,6,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2019,2,,-,9,,,-,5,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MIDDDLE ATLANTIC,2019,2,5,,51,,12,,22,,,-,23,,,-,1,,,
ARIZONA,2019,2,,-,12,,4,,7,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2019,2,2,,25,,4,,15,,1,,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
MAINE,2019,2,,-,6,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OREGON,2019,2,7,,12,,10,,9,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH ATLANTIC,2019,2,3,,69,,14,,46,,,-,27,,,-,,-,,
FLORIDA,2019,2,,-,27,,,-,13,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MASSACHUSETTS,2019,2,4,,19,,9,,8,,,-,6,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
VIRGINIA,2019,2,2,,14,,3,,8,,,-,5,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2019,2,,-,12,,2,,9,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2019,2,,-,35,,2,,1,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2019,2,2,,7,,2,,3,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2019,2,3,,19,,7,,2,,,-,29,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
KANSAS,2019,2,,-,6,,,-,3,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PACIFIC,2019,2,10,,45,,17,,26,,1,,26,,1,,,-,,
EAST NORTH CENTRAL,2019,2,14,,117,,36,,52,,,-,445,,,-,,-,,
OKLAHOMA,2019,2,,-,10,,3,,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,
AMERICAN SAMOA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,
EAST SOUTH CENTRAL,2019,2,1,,20,,1,,19,,,-,3,,,-,,-,,
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
US RESIDENTS,2019,2,44,,428,,116,,241,,1,,561,,1,,3,,,
KENTUCKY,2019,2,,-,7,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
TENNESSEE,2019,2,,-,10,,,-,9,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2019,2,,-,7,,2,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TEXAS,2019,2,,-,53,,,-,8,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NORTH DAKOTA,2019,2,,-,4,,,-,1,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MARYLAND,2019,2,,-,7,,1,,2,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2019,2,1,,20,,1,,2,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2019,2,,-,37,,,-,,-,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MOUNTAIN,2019,2,3,,48,,9,,25,,,-,10,,,-,1,,,
ILLINOIS,2019,2,,-,21,,2,,5,,,-,398,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
TOTAL,2019,2,44,,428,,116,,241,,1,,561,,1,,3,,,
VERMONT,2019,2,,-,10,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OHIO,2019,2,13,,36,,21,,16,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
DISTRICT OF COLUMBIA,2019,2,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH DAKOTA,2019,2,,-,15,,2,,,-,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2019,2,,-,5,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
WEST SOUTH CENTRAL,2019,2,,-,61,,3,,15,,,-,49,,,-,,-,,
NEW ENGLAND,2019,2,5,,49,,14,,12,,,-,10,,,-,,-,,
WISCONSIN,2019,2,1,,48,,8,,18,,,-,14,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2019,2,,-,12,,,-,3,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
WEST NORTH CENTRAL,2019,2,3,,68,,10,,24,,,-,87,,,-,1,,,
MISSISSIPPI,2019,2,1,,8,,1,,4,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ALABAMA,2019,2,,-,8,,,-,5,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2019,2,,-,20,,,-,8,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
HAWAII,2019,2,1,,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WEST VIRGINIA,2019,2,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2019,2,1,,23,,6,,10,,,-,8,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2019,2,,-,10,,,-,2,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IOWA,2019,2,,-,40,,1,,13,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2019,2,,-,6,,2,,3,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK CITY,2019,2,1,,12,,2,,4,,,-,11,,,-,,-,,
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,
CONNECTICUT,2019,2,1,,8,,3,,3,,,-,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PENNSYLVANIA,2019,2,3,,20,,9,,13,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2019,2,,-,11,,1,,6,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MONTANA,2019,2,,-,5,,1,,3,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2019,2,,-,16,,5,,5,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2019,2,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
INDIANA,2019,3,,-,20,,,-,10,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW ENGLAND,2019,3,2,,49,,19,,21,,,-,10,,,-,,-,,NEW ENGLAND
NEW JERSEY,2019,3,,-,12,,,-,4,,,-,8,,,-,1,,"NEW JERSEY
(40.104655, -74.386686)",
MOUNTAIN,2019,3,1,,48,,13,,29,,,-,10,,,-,1,,,MOUNTAIN
TOTAL,2019,3,47,,428,,210,,364,,,-,572,,2,,3,,,TOTAL
MICHIGAN,2019,3,,-,16,,7,,7,,,-,5,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WEST VIRGINIA,2019,3,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2019,3,,-,9,,,-,6,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WEST NORTH CENTRAL,2019,3,1,,68,,16,,40,,,-,87,,1,,1,,,WEST NORTH CENTRAL
ARIZONA,2019,3,,-,12,,4,,7,,,-,2,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2019,3,,-,7,,1,,3,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PACIFIC,2019,3,8,,45,,29,,40,,,-,26,,1,,,-,,PACIFIC
MONTANA,2019,3,,-,5,,1,,3,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CALIFORNIA,2019,3,4,,25,,10,,23,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
WYOMING,2019,3,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
RHODE ISLAND,2019,3,,-,37,,,-,1,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2019,3,,-,4,,,-,2,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2019,3,1,,53,,5,,21,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2019,3,1,,35,,3,,2,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
TOTAL,2019,6,42,,428,,539,,744,,,-,573,,4,,5,,,TOTAL
PENNSYLVANIA,2019,3,7,,20,,20,,20,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
TENNESSEE,2019,3,,-,10,,1,,13,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
DISTRICT OF COLUMBIA,2019,3,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WEST SOUTH CENTRAL,2019,3,5,,61,,12,,31,,,-,49,,,-,,-,,WEST SOUTH CENTRAL
VIRGINIA,2019,3,,-,14,,4,,15,,,-,5,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
AMERICAN SAMOA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NEVADA,2019,3,,-,6,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
GEORGIA,2019,3,1,,23,,10,,15,,,-,7,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2019,3,,-,10,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
EAST NORTH CENTRAL,2019,3,12,,117,,58,,75,,,-,456,,,-,,-,,EAST NORTH CENTRAL
HAWAII,2019,3,,-,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MAINE,2019,3,,-,6,,,-,2,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OREGON,2019,3,3,,12,,15,,14,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
KANSAS,2019,3,,-,6,,,-,3,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2019,3,,-,19,,7,,13,,,-,6,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2019,3,,-,27,,,-,20,,,-,9,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2019,3,,-,7,,2,,4,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
IOWA,2019,3,,-,40,,5,,20,,,-,75,,,-,1,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2019,3,2,,8,,8,,4,,,-,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW YORK,2019,3,4,,20,,5,,3,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MISSOURI,2019,3,1,,19,,9,,7,,,-,29,,1,,,-,"MISSOURI
(38.636168, -92.566292)",
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
KENTUCKY,2019,3,1,,7,,2,,3,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2019,3,,-,15,,2,,2,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2019,3,,-,21,,4,,6,,,-,398,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2019,3,1,,11,,3,,9,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2019,3,,-,12,,3,,10,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
EAST SOUTH CENTRAL,2019,3,5,,20,,10,,27,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
MISSISSIPPI,2019,3,,-,8,,1,,4,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
US RESIDENTS,2019,3,47,,428,,210,,364,,,-,572,,2,,3,,,US RESIDENTS
OHIO,2019,3,9,,36,,30,,26,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2019,3,,-,5,,,-,7,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MIDDDLE ATLANTIC,2019,3,11,,51,,32,,32,,,-,23,,,-,1,,,MIDDDLE ATLANTIC
NEW HAMPSHIRE,2019,3,,-,7,,4,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2019,3,,-,10,,,-,2,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OKLAHOMA,2019,3,2,,10,,5,,2,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK CITY,2019,3,,-,12,,7,,5,,,-,11,,,-,,-,,NEW YORK CITY
DELAWARE,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2019,3,3,,48,,17,,26,,,-,37,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
SOUTH ATLANTIC,2019,3,2,,69,,21,,69,,,-,26,,,-,,-,,SOUTH ATLANTIC
ALABAMA,2019,3,4,,8,,6,,7,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,3,,-,18,,3,,3,,,-,4,,,-,,-,"UTAH
(39.359772, -111.584173)",
SOUTH CAROLINA,2019,3,1,,6,,3,,5,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ARKANSAS,2019,3,2,,5,,2,,1,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2019,4,1,,53,,9,,34,,,-,40,,,-,,-,"TEXAS
(31.827233, -99.423022)",
VERMONT,2019,4,3,,10,,3,,2,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
IDAHO,2019,4,2,,7,,4,,5,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MIDDDLE ATLANTIC,2019,4,10,,51,,56,,42,,,-,23,,,-,1,,,MIDDDLE ATLANTIC
VIRGINIA,2019,4,5,,14,,11,,20,,,-,5,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MISSISSIPPI,2019,4,,-,8,,1,,5,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEBRASKA,2019,4,,-,9,,4,,7,,,-,5,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2019,4,,-,6,,,-,3,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2019,4,,-,7,,5,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DELAWARE,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2019,4,,-,11,,5,,10,,,-,6,,,-,,-,"COLORADO
(38.841772, -106.132562)",
NORTH CAROLINA,2019,4,,-,12,,6,,15,,,-,6,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2019,4,1,,10,,1,,2,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2019,4,,-,5,,,-,12,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
