"Reporting.Area","MMWR.Year","MMWR.Week","Dengue_Cases_Count"
"OREGON",2019,8,0
"MAINE",2019,8,0
"MASSACHUSETTS",2019,8,0
"NORTH DAKOTA",2019,8,0
"PACIFIC",2019,8,0
"VERMONT",2019,8,0
"WEST NORTH CENTRAL",2019,8,0
"EAST SOUTH CENTRAL",2019,8,0
"TOTAL",2019,8,0
"WEST SOUTH CENTRAL",2019,8,0
"NEVADA",2019,8,0
"INDIANA",2019,8,0
"LOUISIANA",2019,8,0
"MICHIGAN",2019,8,0
"ARIZONA",2019,8,0
"WEST VIRGINIA",2019,8,0
"OKLAHOMA",2019,8,0
"NEW MEXICO",2019,8,0
"ALASKA",2019,8,0
"GUAM",2019,8,0
"VIRGINIA",2019,8,0
"IOWA",2019,8,0
"WEST SOUTH CENTRAL",2019,9,0
"UTAH",2019,9,0
"WASHINGTON",2019,9,0
"MASSACHUSETTS",2019,9,0
"MAINE",2019,9,0
"OREGON",2019,9,0
"KANSAS",2019,9,0
"AMERICAN SAMOA",2019,9,0
"MICHIGAN",2019,9,0
"SOUTH DAKOTA",2019,9,0
"US TERRITORIES",2019,9,0
"VERMONT",2019,9,0
"GEORGIA",2019,9,0
"TOTAL",2019,9,0
"INDIANA",2019,9,0
"CALIFORNIA",2019,9,0
"PACIFIC",2019,9,0
"HAWAII",2019,9,0
"MIDDLE ATLANTIC",2019,9,0
"SOUTH ATLANTIC",2019,9,0
"CONNECTICUT",2019,9,0
"IDAHO",2019,9,0
"NORTHERN MARIANA ISLANDS",2019,9,0
"EAST SOUTH CENTRAL",2019,9,0
"ALASKA",2019,9,0
"MONTANA",2019,9,0
"NEBRASKA",2019,9,0
"MISSISSIPPI",2019,9,0
"LOUISIANA",2019,9,0
"VIRGINIA",2019,9,0
"MINNESOTA",2019,9,0
"MOUNTAIN",2019,9,0
"MISSOURI",2019,9,0
"PENNSYLVANIA",2019,9,0
"EAST NORTH CENTRAL",2019,9,0
"ARIZONA",2019,9,0
"WEST VIRGINIA",2019,9,0
"NEVADA",2019,9,0
"NON-US RESIDENTS",2019,9,0
"COLORADO",2019,9,0
"SOUTH CAROLINA",2019,9,0
"DISTRICT OF COLUMBIA",2019,9,0
"OKLAHOMA",2019,9,0
"NORTH DAKOTA",2019,9,0
"WYOMING",2019,9,0
"NEW ENGLAND",2019,9,0
"ILLINOIS",2019,9,0
"NEW JERSEY",2019,9,0
"FLORIDA",2019,9,0
"US RESIDENTS",2019,9,0
"RHODE ISLAND",2019,9,0
"TEXAS",2019,9,0
"NEW HAMPSHIRE",2019,9,0
"ARKANSAS",2019,9,0
"TENNESSEE",2019,9,0
"IOWA",2019,9,0
"WISCONSIN",2019,9,0
"GUAM",2019,9,0
"DELAWARE",2019,9,0
"ALABAMA",2019,9,0
"NEW MEXICO",2019,9,0
"MARYLAND",2019,9,0
"NEW YORK CITY",2019,9,0
"U.S. VIRGIN ISLANDS",2019,9,0
"NORTH CAROLINA",2019,9,0
"NEW YORK",2019,9,0
"OHIO",2019,9,0
"WEST NORTH CENTRAL",2019,9,0
"PUERTO RICO",2019,9,0
"KENTUCKY",2019,9,0
"ARKANSAS",2019,10,0
"OKLAHOMA",2019,10,0
"NEW YORK CITY",2019,10,0
"DISTRICT OF COLUMBIA",2019,10,0
"TOTAL",2019,10,0
"VERMONT",2019,10,0
"WEST NORTH CENTRAL",2019,10,0
"COLORADO",2019,10,0
"US TERRITORIES",2019,10,0
"KENTUCKY",2019,10,0
"IOWA",2019,10,0
"ARIZONA",2019,10,0
"MISSISSIPPI",2019,10,0
"US RESIDENTS",2019,10,0
"PENNSYLVANIA",2019,10,0
"WEST SOUTH CENTRAL",2019,10,0
"ALASKA",2019,10,0
"MOUNTAIN",2019,10,0
"NEW HAMPSHIRE",2019,10,0
"WEST VIRGINIA",2019,10,0
"NEVADA",2019,10,0
"SOUTH CAROLINA",2019,10,0
"RHODE ISLAND",2019,10,0
"NEBRASKA",2019,10,0
"CONNECTICUT",2019,10,0
"AMERICAN SAMOA",2019,10,0
"NEW JERSEY",2019,10,0
"SOUTH ATLANTIC",2019,10,0
"WISCONSIN",2019,10,0
"UTAH",2019,10,0
"NEW MEXICO",2019,10,0
"DELAWARE",2019,10,0
"NEW ENGLAND",2019,10,0
"MISSOURI",2019,10,0
"GUAM",2019,10,0
"MICHIGAN",2019,10,0
"LOUISIANA",2019,10,0
"NEW YORK",2019,10,0
"VIRGINIA",2019,10,0
"MONTANA",2019,10,0
"IDAHO",2019,10,0
"TEXAS",2019,10,0
"HAWAII",2019,10,0
"NON-US RESIDENTS",2019,10,0
"OREGON",2019,10,0
"OHIO",2019,10,0
"NORTH DAKOTA",2019,10,0
"FLORIDA",2019,10,0
"CALIFORNIA",2019,10,0
"SOUTH DAKOTA",2019,10,0
"ILLINOIS",2019,10,0
"NORTHERN MARIANA ISLANDS",2019,10,0
"PUERTO RICO",2019,10,0
"MAINE",2019,10,0
"MASSACHUSETTS",2019,10,0
"MARYLAND",2019,10,0
"WYOMING",2019,10,0
"KANSAS",2019,10,0
"EAST NORTH CENTRAL",2019,10,0
"GEORGIA",2019,10,0
"TENNESSEE",2019,10,0
"MINNESOTA",2019,10,0
"INDIANA",2019,10,0
"MIDDLE ATLANTIC",2019,10,0
"EAST SOUTH CENTRAL",2019,10,0
"ALABAMA",2019,10,0
"WASHINGTON",2019,10,0
"PACIFIC",2019,10,0
"NORTH CAROLINA",2019,10,0
"U.S. VIRGIN ISLANDS",2019,10,0
"NEW ENGLAND",2019,11,0
"NEBRASKA",2019,11,0
"SOUTH ATLANTIC",2019,11,0
"INDIANA",2019,11,0
"SOUTH CAROLINA",2019,11,0
"DELAWARE",2019,11,0
"US TERRITORIES",2019,11,0
"ILLINOIS",2019,11,0
"WISCONSIN",2019,11,0
"OHIO",2019,11,0
"IOWA",2019,11,0
"NORTHERN MARIANA ISLANDS",2019,11,0
"TEXAS",2019,11,0
"MARYLAND",2019,11,0
"PUERTO RICO",2019,11,0
"MISSOURI",2019,11,0
"MAINE",2019,11,0
"MICHIGAN",2019,11,0
"ARIZONA",2019,11,0
"US RESIDENTS",2019,11,0
"EAST SOUTH CENTRAL",2019,11,0
"CALIFORNIA",2019,11,0
"GEORGIA",2019,11,0
"WASHINGTON",2019,11,0
"PACIFIC",2019,11,0
"NEW YORK CITY",2019,11,0
"TOTAL",2019,11,0
"COLORADO",2019,11,0
"WEST NORTH CENTRAL",2019,11,0
"WEST SOUTH CENTRAL",2019,11,0
"AMERICAN SAMOA",2019,11,0
"NEW YORK",2019,11,0
"FLORIDA",2019,11,0
"VERMONT",2019,11,0
"IDAHO",2019,11,0
"MOUNTAIN",2019,11,0
"KANSAS",2019,11,0
"TENNESSEE",2019,11,0
"MONTANA",2019,11,0
"CONNECTICUT",2019,11,0
"ALABAMA",2019,11,0
"NEW HAMPSHIRE",2019,11,0
"LOUISIANA",2019,11,0
"ALASKA",2019,11,0
"MISSISSIPPI",2019,11,0
"HAWAII",2019,11,0
"NEW JERSEY",2019,11,0
"OKLAHOMA",2019,11,0
"WEST VIRGINIA",2019,11,0
"SOUTH DAKOTA",2019,11,0
"VIRGINIA",2019,11,0
"MINNESOTA",2019,11,0
"EAST NORTH CENTRAL",2019,11,0
"KENTUCKY",2019,11,0
"UTAH",2019,11,0
"PENNSYLVANIA",2019,11,0
"MIDDLE ATLANTIC",2019,11,0
"NORTH CAROLINA",2019,11,0
"NORTH DAKOTA",2019,11,0
"ARKANSAS",2019,11,0
"NEVADA",2019,11,0
"NON-US RESIDENTS",2019,11,0
"NEW MEXICO",2019,11,0
"DISTRICT OF COLUMBIA",2019,11,0
"U.S. VIRGIN ISLANDS",2019,11,0
"GUAM",2019,11,0
"OREGON",2019,11,0
"WYOMING",2019,11,0
"MASSACHUSETTS",2019,11,0
"RHODE ISLAND",2019,11,0
"NORTHERN MARIANA ISLANDS",2019,12,0
"U.S. VIRGIN ISLANDS",2019,12,0
"DISTRICT OF COLUMBIA",2019,12,0
"GEORGIA",2019,12,0
"TENNESSEE",2019,12,0
"ARIZONA",2019,12,0
"PUERTO RICO",2019,12,0
"MOUNTAIN",2019,12,0
"UTAH",2019,12,0
"NEW MEXICO",2019,12,0
"NON-US RESIDENTS",2019,12,0
"NEW HAMPSHIRE",2019,12,0
"MINNESOTA",2019,12,0
"MONTANA",2019,12,0
"AMERICAN SAMOA",2019,12,0
"PENNSYLVANIA",2019,12,0
"SOUTH CAROLINA",2019,12,0
"NEW YORK",2019,12,0
"NEVADA",2019,12,0
"CONNECTICUT",2019,12,0
"INDIANA",2019,12,0
"SOUTH ATLANTIC",2019,12,0
"MAINE",2019,12,0
"MICHIGAN",2019,12,0
"ALABAMA",2019,12,0
"HAWAII",2019,12,0
"US TERRITORIES",2019,12,0
"WEST SOUTH CENTRAL",2019,12,0
"WEST VIRGINIA",2019,12,0
"TOTAL",2019,12,0
"SOUTH DAKOTA",2019,12,0
"KENTUCKY",2019,12,0
"COLORADO",2019,12,0
"OREGON",2019,12,0
"WYOMING",2019,12,0
"MASSACHUSETTS",2019,12,0
"ALASKA",2019,12,0
"EAST SOUTH CENTRAL",2019,12,0
"NORTH CAROLINA",2019,12,0
"FLORIDA",2019,12,0
"WEST NORTH CENTRAL",2019,12,0
"DELAWARE",2019,12,0
"VIRGINIA",2019,12,0
"EAST NORTH CENTRAL",2019,12,0
"LOUISIANA",2019,12,0
"NORTH DAKOTA",2019,12,0
"OKLAHOMA",2019,12,0
"IDAHO",2019,12,0
"MISSISSIPPI",2019,12,0
"ILLINOIS",2019,12,0
