"Reporting.Area","MMWR.Year","MMWR.Week","Cryptosporidiosis_Cases_Count"
"ARIZONA",2019,1,2
"OHIO",2019,1,8
"WISCONSIN",2019,1,3
"MAINE",2019,1,0
"CALIFORNIA",2019,1,1
"VERMONT",2019,1,0
"NEW MEXICO",2019,1,0
"U.S. VIRGIN ISLANDS",2019,1,0
"MARYLAND",2019,1,0
"GEORGIA",2019,1,3
"NORTHERN MARIANA ISLANDS",2019,1,0
"EAST SOUTH CENTRAL",2019,1,0
"CONNECTICUT",2019,1,1
"NON-US RESIDENTS",2019,1,0
"NEW YORK",2019,1,0
"EAST NORTH CENTRAL",2019,1,12
"MISSOURI",2019,1,0
"NEW YORK CITY",2019,1,0
"NORTH DAKOTA",2019,1,0
"TOTAL",2019,1,35
"US TERRITORIES",2019,1,0
"ALABAMA",2019,1,0
"VIRGINIA",2019,1,0
"NEVADA",2019,1,0
"ILLINOIS",2019,1,1
"PACIFIC",2019,1,5
"DELAWARE",2019,1,0
"NEW ENGLAND",2019,1,2
"SOUTH DAKOTA",2019,1,0
"NORTH CAROLINA",2019,1,0
"PENNSYLVANIA",2019,1,6
"ARKANSAS",2019,1,0
"UTAH",2019,1,0
"IOWA",2019,1,0
"OHIO",2019,2,13
"NORTH DAKOTA",2019,2,0
"GUAM",2019,2,0
"EAST SOUTH CENTRAL",2019,2,1
"NORTH CAROLINA",2019,2,0
"VERMONT",2019,2,0
"PUERTO RICO",2019,2,0
"NON-US RESIDENTS",2019,2,0
"WYOMING",2019,2,0
"AMERICAN SAMOA",2019,2,0
"NEBRASKA",2019,2,0
"ALABAMA",2019,2,0
"ARIZONA",2019,2,0
"MAINE",2019,2,0
"CONNECTICUT",2019,2,1
"RHODE ISLAND",2019,2,0
"HAWAII",2019,2,1
"IOWA",2019,2,0
"FLORIDA",2019,2,0
"EAST NORTH CENTRAL",2019,2,14
"PENNSYLVANIA",2019,2,3
"ARKANSAS",2019,2,0
"ILLINOIS",2019,2,0
"US RESIDENTS",2019,2,44
"NORTHERN MARIANA ISLANDS",2019,2,0
"WEST NORTH CENTRAL",2019,2,3
"MONTANA",2019,2,0
"KANSAS",2019,2,0
"INDIANA",2019,2,0
"MISSISSIPPI",2019,2,1
"MASSACHUSETTS",2019,2,4
"KENTUCKY",2019,2,0
"NEW JERSEY",2019,2,0
"VIRGINIA",2019,2,2
"COLORADO",2019,2,0
"MOUNTAIN",2019,2,3
"DELAWARE",2019,2,0
"TENNESSEE",2019,2,0
"IDAHO",2019,2,2
"WEST VIRGINIA",2019,2,0
"SOUTH CAROLINA",2019,2,0
"ALASKA",2019,2,0
"NEW YORK",2019,2,1
"OKLAHOMA",2019,2,0
"NEW HAMPSHIRE",2019,2,0
"NEW ENGLAND",2019,2,5
"MINNESOTA",2019,2,0
"OREGON",2019,2,7
"TEXAS",2019,2,0
"NEVADA",2019,2,0
"U.S. VIRGIN ISLANDS",2019,2,0
"NEW YORK CITY",2019,2,1
"US TERRITORIES",2019,2,0
"CALIFORNIA",2019,2,2
"WASHINGTON",2019,2,0
"MIDDLE ATLANTIC",2019,2,5
"DISTRICT OF COLUMBIA",2019,2,0
"LOUISIANA",2019,2,0
"PACIFIC",2019,2,10
"TOTAL",2019,2,44
"WEST SOUTH CENTRAL",2019,2,0
"SOUTH ATLANTIC",2019,2,3
"SOUTH DAKOTA",2019,2,0
"MARYLAND",2019,2,0
"UTAH",2019,2,1
"NEW MEXICO",2019,2,0
"WISCONSIN",2019,2,1
"MISSOURI",2019,2,3
"MICHIGAN",2019,2,0
"GEORGIA",2019,2,1
"NEVADA",2019,3,0
"TOTAL",2019,3,47
"GUAM",2019,3,0
"PACIFIC",2019,3,8
"NEW YORK",2019,3,4
"TEXAS",2019,3,1
"WEST SOUTH CENTRAL",2019,3,5
"TENNESSEE",2019,3,0
"WYOMING",2019,3,0
"ARKANSAS",2019,3,2
"KANSAS",2019,3,0
"SOUTH ATLANTIC",2019,3,2
"NORTH CAROLINA",2019,3,0
"UTAH",2019,3,0
"OHIO",2019,3,9
"WASHINGTON",2019,3,1
"COLORADO",2019,3,1
"U.S. VIRGIN ISLANDS",2019,3,0
"NEW MEXICO",2019,3,0
"IOWA",2019,3,0
"NEW JERSEY",2019,3,0
"ALASKA",2019,3,0
"MARYLAND",2019,3,0
"DISTRICT OF COLUMBIA",2019,3,0
"NON-US RESIDENTS",2019,3,0
"MINNESOTA",2019,3,0
"MISSOURI",2019,3,1
"NEW ENGLAND",2019,3,2
"RHODE ISLAND",2019,3,0
"IDAHO",2019,3,0
"NORTH DAKOTA",2019,3,0
"MASSACHUSETTS",2019,3,0
"PUERTO RICO",2019,3,0
"OKLAHOMA",2019,3,2
"WEST VIRGINIA",2019,3,0
"OREGON",2019,3,3
"ARIZONA",2019,3,0
"MAINE",2019,3,0
"MIDDLE ATLANTIC",2019,3,11
"VERMONT",2019,3,0
"ALABAMA",2019,3,4
"NEBRASKA",2019,3,0
"US RESIDENTS",2019,3,47
"AMERICAN SAMOA",2019,3,0
"NEW HAMPSHIRE",2019,3,0
"ILLINOIS",2019,3,0
"LOUISIANA",2019,3,0
"US TERRITORIES",2019,3,0
"MOUNTAIN",2019,3,1
"CALIFORNIA",2019,3,4
"GEORGIA",2019,3,1
"HAWAII",2019,3,0
"KENTUCKY",2019,3,1
"DELAWARE",2019,3,0
"VIRGINIA",2019,3,0
"MONTANA",2019,3,0
"EAST NORTH CENTRAL",2019,3,12
"MICHIGAN",2019,3,0
"SOUTH DAKOTA",2019,3,0
"FLORIDA",2019,3,0
"INDIANA",2019,3,0
"WISCONSIN",2019,3,3
"MISSISSIPPI",2019,3,0
"NORTHERN MARIANA ISLANDS",2019,3,0
"EAST SOUTH CENTRAL",2019,3,5
"WEST NORTH CENTRAL",2019,3,1
"PENNSYLVANIA",2019,3,7
"NEW YORK CITY",2019,3,0
"CONNECTICUT",2019,3,2
"SOUTH CAROLINA",2019,3,1
"TENNESSEE",2019,4,0
"UTAH",2019,4,2
"MARYLAND",2019,4,0
"EAST SOUTH CENTRAL",2019,4,2
"EAST NORTH CENTRAL",2019,4,10
"US RESIDENTS",2019,4,50
"INDIANA",2019,4,0
"MONTANA",2019,4,0
"DISTRICT OF COLUMBIA",2019,4,0
"ARIZONA",2019,4,1
"COLORADO",2019,4,0
"AMERICAN SAMOA",2019,4,0
"DELAWARE",2019,4,0
"NORTH DAKOTA",2019,4,0
"SOUTH CAROLINA",2019,4,0
"MICHIGAN",2019,4,0
"NEW JERSEY",2019,4,0
"KENTUCKY",2019,4,0
"MAINE",2019,4,0
"PENNSYLVANIA",2019,4,8
"PUERTO RICO",2019,4,0
"WEST SOUTH CENTRAL",2019,4,3
"OKLAHOMA",2019,4,2
"WYOMING",2019,4,0
"HAWAII",2019,4,0
"CALIFORNIA",2019,4,1
"PACIFIC",2019,4,5
"NEW YORK",2019,4,2
"CONNECTICUT",2019,4,0
"US TERRITORIES",2019,4,0
"SOUTH DAKOTA",2019,4,0
"NEW HAMPSHIRE",2019,4,0
"ALASKA",2019,4,0
"NORTH CAROLINA",2019,4,0
"OHIO",2019,4,6
"VERMONT",2019,4,3
"MASSACHUSETTS",2019,4,1
"NEW YORK CITY",2019,4,0
"IOWA",2019,4,2
"NEVADA",2019,4,1
"KANSAS",2019,4,0
"NON-US RESIDENTS",2019,4,0
"GUAM",2019,4,0
"NORTHERN MARIANA ISLANDS",2019,4,0
"TOTAL",2019,4,50
"U.S. VIRGIN ISLANDS",2019,4,0
"NEBRASKA",2019,4,0
"MOUNTAIN",2019,4,7
"VIRGINIA",2019,4,5
"MISSOURI",2019,4,0
"MIDDLE ATLANTIC",2019,4,10
"LOUISIANA",2019,4,0
"NEW ENGLAND",2019,4,4
"WASHINGTON",2019,4,1
"RHODE ISLAND",2019,4,0
"WEST VIRGINIA",2019,4,0
"TEXAS",2019,4,1
"GEORGIA",2019,4,2
"OREGON",2019,4,3
"WEST NORTH CENTRAL",2019,4,2
"MISSISSIPPI",2019,4,0
"ARKANSAS",2019,4,0
"MINNESOTA",2019,4,0
"IDAHO",2019,4,2
"ILLINOIS",2019,4,0
"SOUTH ATLANTIC",2019,4,7
"ALABAMA",2019,4,2
"NEW MEXICO",2019,4,1
"WISCONSIN",2019,4,4
"FLORIDA",2019,4,0
"EAST SOUTH CENTRAL",2019,5,1
"NORTH CAROLINA",2019,5,0
"MISSISSIPPI",2019,5,1
"ALASKA",2019,5,0
"NEBRASKA",2019,5,0
"VERMONT",2019,5,0
"IDAHO",2019,5,0
"VIRGINIA",2019,5,2
"WASHINGTON",2019,5,0
"MASSACHUSETTS",2019,5,2
"MARYLAND",2019,5,0
"PENNSYLVANIA",2019,5,4
"OHIO",2019,5,3
"MONTANA",2019,5,0
"NEW MEXICO",2019,5,0
"KANSAS",2019,5,0
"NEW JERSEY",2019,5,0
"TEXAS",2019,5,0
"CALIFORNIA",2019,5,6
"DISTRICT OF COLUMBIA",2019,5,0
"PACIFIC",2019,5,8
"US TERRITORIES",2019,5,0
"OREGON",2019,5,2
"GUAM",2019,10,0
"NORTH DAKOTA",2019,5,0
"AMERICAN SAMOA",2019,5,0
"SOUTH DAKOTA",2019,5,0
"ILLINOIS",2019,5,0
"ALABAMA",2019,5,0
"NEW ENGLAND",2019,5,3
"U.S. VIRGIN ISLANDS",2019,5,0
"US RESIDENTS",2019,5,49
"IOWA",2019,5,6
"SOUTH CAROLINA",2019,5,0
"WYOMING",2019,5,0
"TENNESSEE",2019,5,0
"ARKANSAS",2019,5,0
"UTAH",2019,5,1
"LOUISIANA",2019,5,0
"MISSOURI",2019,5,1
"NEVADA",2019,5,0
"SOUTH ATLANTIC",2019,5,8
"EAST NORTH CENTRAL",2019,5,5
"KENTUCKY",2019,5,0
"CONNECTICUT",2019,5,1
"DELAWARE",2019,5,0
"MIDDLE ATLANTIC",2019,5,14
"WISCONSIN",2019,5,2
"OKLAHOMA",2019,5,2
"NON-US RESIDENTS",2019,5,0
"HAWAII",2019,5,0
"GEORGIA",2019,5,4
"TOTAL",2019,5,49
"MAINE",2019,5,0
"INDIANA",2019,5,0
"WEST NORTH CENTRAL",2019,5,7
"NEW HAMPSHIRE",2019,5,0
"MINNESOTA",2019,5,0
"NEW YORK",2019,5,10
"WEST VIRGINIA",2019,5,2
"FLORIDA",2019,5,0
"COLORADO",2019,5,0
"RHODE ISLAND",2019,5,0
"ARIZONA",2019,5,0
"MOUNTAIN",2019,5,1
"PUERTO RICO",2019,5,0
"WEST SOUTH CENTRAL",2019,5,2
"MICHIGAN",2019,5,0
"NORTHERN MARIANA ISLANDS",2019,5,0
"GUAM",2019,5,0
"NEW YORK CITY",2019,5,0
"TOTAL",2019,6,42
"PUERTO RICO",2019,6,0
"OHIO",2019,6,4
"EAST NORTH CENTRAL",2019,6,7
"NEW MEXICO",2019,6,0
"LOUISIANA",2019,6,0
"IOWA",2019,6,0
"WEST SOUTH CENTRAL",2019,6,5
"ARIZONA",2019,6,0
"KANSAS",2019,6,0
"INDIANA",2019,6,0
"ARKANSAS",2019,6,3
"SOUTH CAROLINA",2019,6,3
"CALIFORNIA",2019,6,1
"US RESIDENTS",2019,6,42
"VIRGINIA",2019,6,2
"NORTHERN MARIANA ISLANDS",2019,6,0
"DELAWARE",2019,6,0
"TENNESSEE",2019,6,0
"UTAH",2019,6,0
"WEST VIRGINIA",2019,6,0
"COLORADO",2019,6,1
"MOUNTAIN",2019,6,3
"SOUTH DAKOTA",2019,6,0
"AMERICAN SAMOA",2019,6,0
"SOUTH ATLANTIC",2019,6,7
"OREGON",2019,6,0
"KENTUCKY",2019,6,1
"NEW ENGLAND",2019,6,1
"PENNSYLVANIA",2019,6,3
"NORTH CAROLINA",2019,6,0
"WASHINGTON",2019,6,0
"MISSOURI",2019,6,4
"NEW JERSEY",2019,6,0
"NORTH DAKOTA",2019,6,0
"ALASKA",2019,6,0
"MINNESOTA",2019,6,0
"NEW YORK",2019,6,8
"EAST SOUTH CENTRAL",2019,6,1
"WISCONSIN",2019,6,2
"MARYLAND",2019,6,0
"MICHIGAN",2019,6,1
"NON-US RESIDENTS",2019,6,0
"VERMONT",2019,6,0
"ILLINOIS",2019,6,0
"CONNECTICUT",2019,6,0
"TEXAS",2019,6,0
"MISSISSIPPI",2019,6,0
"US TERRITORIES",2019,6,0
"RHODE ISLAND",2019,6,0
"WEST NORTH CENTRAL",2019,6,6
"IDAHO",2019,6,1
"WYOMING",2019,6,0
"ALABAMA",2019,6,0
"U.S. VIRGIN ISLANDS",2019,6,0
"GEORGIA",2019,6,2
"FLORIDA",2019,6,0
"MAINE",2019,6,0
"MONTANA",2019,6,0
"NEW HAMPSHIRE",2019,6,0
"MASSACHUSETTS",2019,6,1
"GUAM",2019,6,0
"HAWAII",2019,6,0
"PACIFIC",2019,6,1
"DISTRICT OF COLUMBIA",2019,6,0
"NEVADA",2019,6,1
"NEBRASKA",2019,6,2
"MIDDLE ATLANTIC",2019,6,11
"NEW YORK CITY",2019,6,0
"OKLAHOMA",2019,6,2
"TENNESSEE",2019,7,0
"NEW YORK",2019,7,1
"LOUISIANA",2019,7,0
"MASSACHUSETTS",2019,7,0
"PENNSYLVANIA",2019,7,2
"DISTRICT OF COLUMBIA",2019,7,0
"OREGON",2019,7,0
"U.S. VIRGIN ISLANDS",2019,7,0
"KANSAS",2019,7,0
"WISCONSIN",2019,7,1
"WYOMING",2019,7,0
"PACIFIC",2019,7,1
"DELAWARE",2019,7,0
"CALIFORNIA",2019,7,1
"MINNESOTA",2019,7,0
"SOUTH ATLANTIC",2019,7,8
"MAINE",2019,7,0
"US TERRITORIES",2019,7,0
"TOTAL",2019,7,38
"NEVADA",2019,7,0
"CONNECTICUT",2019,7,0
"WEST NORTH CENTRAL",2019,7,2
"COLORADO",2019,7,0
"UTAH",2019,7,0
"IDAHO",2019,7,0
"SOUTH DAKOTA",2019,7,0
"WEST SOUTH CENTRAL",2019,7,7
"VERMONT",2019,7,0
"MISSOURI",2019,7,1
"WEST VIRGINIA",2019,7,0
"HAWAII",2019,7,0
"OHIO",2019,7,14
"GEORGIA",2019,7,2
"ARIZONA",2019,7,2
"INDIANA",2019,7,0
"IOWA",2019,7,0
"NEW HAMPSHIRE",2019,7,0
"EAST NORTH CENTRAL",2019,7,15
"NEW JERSEY",2019,7,0
"VIRGINIA",2019,7,3
"NORTH DAKOTA",2019,7,0
"ILLINOIS",2019,7,0
"NORTH CAROLINA",2019,7,0
"SOUTH CAROLINA",2019,7,3
"AMERICAN SAMOA",2019,7,0
"KENTUCKY",2019,7,0
"MOUNTAIN",2019,7,2
"EAST SOUTH CENTRAL",2019,7,0
"FLORIDA",2019,7,0
"RHODE ISLAND",2019,7,0
"NEBRASKA",2019,7,1
"US RESIDENTS",2019,7,38
"NORTHERN MARIANA ISLANDS",2019,7,0
"NEW YORK CITY",2019,7,0
"GUAM",2019,7,0
"NEW ENGLAND",2019,7,0
"MICHIGAN",2019,7,0
"MARYLAND",2019,7,0
"MIDDLE ATLANTIC",2019,7,3
"ALASKA",2019,7,0
"TEXAS",2019,7,6
"OKLAHOMA",2019,7,0
"ARKANSAS",2019,7,1
"NEW MEXICO",2019,7,0
"ALABAMA",2019,7,0
"NON-US RESIDENTS",2019,7,0
"WASHINGTON",2019,7,0
"MISSISSIPPI",2019,7,0
"PUERTO RICO",2019,7,0
"MONTANA",2019,7,0
"MAINE",2019,8,0
"VERMONT",2019,8,0
"TEXAS",2019,8,3
"MIDDLE ATLANTIC",2019,8,8
"OREGON",2019,8,1
"NEW YORK",2019,8,2
"VIRGINIA",2019,8,1
"MOUNTAIN",2019,8,4
"NORTHERN MARIANA ISLANDS",2019,8,0
"COLORADO",2019,8,0
"ILLINOIS",2019,8,0
"SOUTH DAKOTA",2019,8,1
"ARIZONA",2019,8,1
"MARYLAND",2019,8,1
"EAST NORTH CENTRAL",2019,8,14
"MINNESOTA",2019,8,0
"MICHIGAN",2019,8,0
"PENNSYLVANIA",2019,8,5
"CONNECTICUT",2019,8,0
"ALASKA",2019,8,0
"ALABAMA",2019,8,0
"IDAHO",2019,8,2
"HAWAII",2019,8,0
"PACIFIC",2019,8,3
"AMERICAN SAMOA",2019,9,0
"NEW JERSEY",2019,8,0
"DISTRICT OF COLUMBIA",2019,8,0
"MASSACHUSETTS",2019,8,0
"PUERTO RICO",2019,8,0
"CALIFORNIA",2019,8,1
"NEVADA",2019,8,0
"MONTANA",2019,8,0
"TENNESSEE",2019,8,0
"MISSISSIPPI",2019,8,0
"U.S. VIRGIN ISLANDS",2019,8,0
"NEW YORK CITY",2019,8,1
"GEORGIA",2019,8,2
"INDIANA",2019,8,0
"ARKANSAS",2019,8,2
"GEORGIA",2019,9,1
"ALABAMA",2019,9,1
"VIRGINIA",2019,9,5
"NORTH CAROLINA",2019,9,0
"NORTH DAKOTA",2019,9,0
"RHODE ISLAND",2019,9,0
"TENNESSEE",2019,9,0
"NEW MEXICO",2019,9,0
"WISCONSIN",2019,9,5
"CONNECTICUT",2019,9,0
"NON-US RESIDENTS",2019,9,0
"ARIZONA",2019,9,1
"INDIANA",2019,9,0
"NEW ENGLAND",2019,9,1
"MAINE",2019,9,0
"IDAHO",2019,9,0
"PACIFIC",2019,9,4
"HAWAII",2019,9,0
"NEW YORK",2019,9,3
"ALASKA",2019,9,0
"PENNSYLVANIA",2019,9,5
"NEW JERSEY",2019,9,1
"ARKANSAS",2019,9,2
"FLORIDA",2019,9,0
"ILLINOIS",2019,9,0
"MASSACHUSETTS",2019,9,0
"WASHINGTON",2019,9,1
"NEBRASKA",2019,9,0
"LOUISIANA",2019,9,0
"EAST NORTH CENTRAL",2019,9,17
"MINNESOTA",2019,9,0
"NEW YORK CITY",2019,9,0
"MIDDLE ATLANTIC",2019,9,9
"OHIO",2019,9,11
"MISSOURI",2019,9,2
"US TERRITORIES",2019,11,0
"EAST SOUTH CENTRAL",2019,9,1
"MICHIGAN",2019,9,1
"OREGON",2019,9,1
"NEW HAMPSHIRE",2019,9,1
"SOUTH CAROLINA",2019,9,1
"U.S. VIRGIN ISLANDS",2019,9,0
"MONTANA",2019,9,0
"OKLAHOMA",2019,9,1
"WEST VIRGINIA",2019,9,0
"TOTAL",2019,9,52
"WEST SOUTH CENTRAL",2019,9,7
"KANSAS",2019,9,0
"DELAWARE",2019,9,0
"SOUTH ATLANTIC",2019,9,8
"MARYLAND",2019,9,1
"KENTUCKY",2019,9,0
"WYOMING",2019,9,0
"CALIFORNIA",2019,9,2
"WEST NORTH CENTRAL",2019,9,2
"DISTRICT OF COLUMBIA",2019,9,0
"IOWA",2019,9,0
"US TERRITORIES",2019,9,0
"AMERICAN SAMOA",2019,14,0
"MOUNTAIN",2019,9,3
"COLORADO",2019,9,0
"VERMONT",2019,9,0
"NEVADA",2019,9,0
"US RESIDENTS",2019,9,52
"NORTHERN MARIANA ISLANDS",2019,9,0
"MISSISSIPPI",2019,9,0
"UTAH",2019,9,2
"TEXAS",2019,9,4
"PUERTO RICO",2019,9,0
"SOUTH DAKOTA",2019,9,0
"GUAM",2019,9,0
"TEXAS",2019,10,0
"DISTRICT OF COLUMBIA",2019,10,0
"MOUNTAIN",2019,10,4
"NEW YORK CITY",2019,10,0
"EAST SOUTH CENTRAL",2019,10,0
"MISSOURI",2019,10,2
"INDIANA",2019,10,0
"MISSISSIPPI",2019,10,0
"SOUTH ATLANTIC",2019,10,5
"OREGON",2019,10,4
"NORTHERN MARIANA ISLANDS",2019,10,0
"WYOMING",2019,10,0
"VIRGINIA",2019,10,2
"NORTH CAROLINA",2019,10,0
"NEBRASKA",2019,10,2
"FLORIDA",2019,10,0
"ILLINOIS",2019,10,0
"CALIFORNIA",2019,10,0
"NEW MEXICO",2019,10,1
"COLORADO",2019,10,0
"WASHINGTON",2019,10,0
"WEST VIRGINIA",2019,10,0
"TENNESSEE",2019,10,0
"NEW YORK",2019,10,7
"MAINE",2019,10,0
"GEORGIA",2019,10,2
"ALASKA",2019,10,0
"AMERICAN SAMOA",2019,10,0
"WEST NORTH CENTRAL",2019,10,4
"OKLAHOMA",2019,10,3
"EAST NORTH CENTRAL",2019,10,10
"SOUTH DAKOTA",2019,10,0
"PUERTO RICO",2019,10,0
"PENNSYLVANIA",2019,10,5
"MONTANA",2019,10,0
"KANSAS",2019,10,0
"NEVADA",2019,10,0
"DELAWARE",2019,10,0
"U.S. VIRGIN ISLANDS",2019,10,0
"ALABAMA",2019,10,0
"IDAHO",2019,10,1
"ARKANSAS",2019,10,9
"NEW JERSEY",2019,10,0
"CONNECTICUT",2019,10,0
"VERMONT",2019,10,1
"NON-US RESIDENTS",2019,10,0
"NEW HAMPSHIRE",2019,10,0
"HAWAII",2019,10,0
"MINNESOTA",2019,10,0
"MASSACHUSETTS",2019,10,5
"RHODE ISLAND",2019,10,0
"NEW ENGLAND",2019,10,6
"GUAM",2019,14,0
"US RESIDENTS",2019,10,57
"TOTAL",2019,10,57
"OHIO",2019,10,7
"WISCONSIN",2019,10,3
"NORTH DAKOTA",2019,10,0
"MIDDLE ATLANTIC",2019,10,12
"PACIFIC",2019,10,4
"UTAH",2019,10,0
"ARIZONA",2019,10,2
"US TERRITORIES",2019,10,0
"WEST SOUTH CENTRAL",2019,10,12
"KENTUCKY",2019,10,0
"IOWA",2019,10,0
"SOUTH CAROLINA",2019,10,0
"LOUISIANA",2019,10,0
"MARYLAND",2019,10,1
"MICHIGAN",2019,10,0
"ALASKA",2019,11,0
"OKLAHOMA",2019,11,3
"PUERTO RICO",2019,11,0
"NEBRASKA",2019,11,1
"EAST SOUTH CENTRAL",2019,11,2
"SOUTH DAKOTA",2019,11,0
"DELAWARE",2019,11,0
"MASSACHUSETTS",2019,11,0
"NEW ENGLAND",2019,11,1
"VERMONT",2019,11,0
"MISSOURI",2019,11,1
"KANSAS",2019,11,0
"MIDDLE ATLANTIC",2019,11,6
"VIRGINIA",2019,11,3
"MINNESOTA",2019,11,0
"WEST SOUTH CENTRAL",2019,11,4
"KENTUCKY",2019,11,0
"MISSISSIPPI",2019,11,0
"NEW YORK",2019,11,5
"NON-US RESIDENTS",2019,11,0
"WEST VIRGINIA",2019,11,0
"GUAM",2019,11,0
"WYOMING",2019,11,0
"ALABAMA",2019,11,2
"MONTANA",2019,11,0
"AMERICAN SAMOA",2019,11,0
"NEW MEXICO",2019,11,0
"ILLINOIS",2019,11,0
"NORTH DAKOTA",2019,11,0
"U.S. VIRGIN ISLANDS",2019,11,0
"NEW HAMPSHIRE",2019,11,0
"IOWA",2019,11,2
"WEST NORTH CENTRAL",2019,11,4
"US RESIDENTS",2019,11,49
"MOUNTAIN",2019,11,3
"SOUTH CAROLINA",2019,11,0
"SOUTH ATLANTIC",2019,11,5
"ARIZONA",2019,11,0
"NEW JERSEY",2019,11,1
"TENNESSEE",2019,11,0
"RHODE ISLAND",2019,11,0
"WISCONSIN",2019,11,8
"MARYLAND",2019,11,1
"UTAH",2019,11,0
"LOUISIANA",2019,11,0
"NORTH CAROLINA",2019,11,0
"MAINE",2019,11,1
"COLORADO",2019,11,1
"WASHINGTON",2019,11,2
"MICHIGAN",2019,11,0
"CONNECTICUT",2019,11,0
"CALIFORNIA",2019,11,3
"OREGON",2019,11,3
"TOTAL",2019,11,49
"IDAHO",2019,11,2
"PENNSYLVANIA",2019,11,0
"GEORGIA",2019,11,1
"ARKANSAS",2019,11,1
"PACIFIC",2019,11,8
"HAWAII",2019,11,0
"DISTRICT OF COLUMBIA",2019,11,0
"NORTHERN MARIANA ISLANDS",2019,11,0
"NEW YORK CITY",2019,11,0
"NEVADA",2019,11,0
"TEXAS",2019,11,0
"FLORIDA",2019,11,0
"OHIO",2019,11,8
"EAST NORTH CENTRAL",2019,11,16
"INDIANA",2019,11,0
"ILLINOIS",2019,12,0
"ALABAMA",2019,12,0
"TEXAS",2019,12,2
"GEORGIA",2019,12,2
"NORTH DAKOTA",2019,12,0
"CALIFORNIA",2019,12,5
"ALASKA",2019,12,0
"PACIFIC",2019,12,8
"NORTHERN MARIANA ISLANDS",2019,12,0
"UTAH",2019,12,1
"NEVADA",2019,12,0
"LOUISIANA",2019,12,1
"MARYLAND",2019,12,3
"TOTAL",2019,12,64
"US RESIDENTS",2019,12,64
"EAST NORTH CENTRAL",2019,12,13
"U.S. VIRGIN ISLANDS",2019,12,0
"NEW MEXICO",2019,12,0
"SOUTH ATLANTIC",2019,12,11
"WISCONSIN",2019,12,3
"WASHINGTON",2019,12,1
"WEST NORTH CENTRAL",2019,12,9
"FLORIDA",2019,12,0
"MISSISSIPPI",2019,12,0
"SOUTH DAKOTA",2019,12,0
"INDIANA",2019,12,0
"SOUTH CAROLINA",2019,12,0
"DELAWARE",2019,12,0
"MIDDLE ATLANTIC",2019,12,8
"GUAM",2019,12,0
"KANSAS",2019,12,0
"OHIO",2019,12,10
"OKLAHOMA",2019,12,1
"MINNESOTA",2019,12,0
"NEW HAMPSHIRE",2019,12,0
"CONNECTICUT",2019,12,1
"MICHIGAN",2019,12,0
"NEBRASKA",2019,12,5
"NON-US RESIDENTS",2019,12,0
"AMERICAN SAMOA",2019,12,0
"MASSACHUSETTS",2019,12,3
"NEW ENGLAND",2019,12,4
"MONTANA",2019,12,0
"MOUNTAIN",2019,12,4
"VIRGINIA",2019,12,6
"NEW JERSEY",2019,12,0
"KENTUCKY",2019,12,1
"NEW YORK",2019,12,4
"OREGON",2019,12,2
