Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
TENNESSEE,2019,1,,-,10,,,-,6,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190142
WEST SOUTH CENTRAL,2019,1,3,,61,,3,,3,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190143
NEW JERSEY,2019,1,,-,12,,,-,3,,,-,8,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190110
HAWAII,2019,1,,-,1,,,-,1,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190160
MICHIGAN,2019,1,,-,16,,,-,3,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190117
MASSACHUSETTS,2019,1,1,,19,,1,,2,,,-,6,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190105
ALASKA,2019,1,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190158
RHODE ISLAND,2019,1,,-,37,,,-,,-,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190107
MIDDLE ATLANTIC,2019,1,6,,51,,6,,15,,,-,23,,,-,,-,,MIDDLE ATLANTIC,20190109
LOUISIANA,2019,1,,-,5,,,-,2,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190145
WASHINGTON,2019,1,1,,35,,1,,1,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190162
OREGON,2019,1,3,,12,,3,,7,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190161
ARIZONA,2019,1,2,,12,,2,,1,,,-,2,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190149
OHIO,2019,1,8,,36,,8,,6,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190118
WISCONSIN,2019,1,3,,47,,3,,11,,,-,14,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190119
MAINE,2019,1,,-,6,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190104
CALIFORNIA,2019,1,1,,25,,1,,5,,,-,23,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190159
VERMONT,2019,1,,-,10,,,-,,-,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190108
NEW MEXICO,2019,1,,-,10,,,-,,-,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190154
U.S. VIRGIN ISLANDS,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190168
MARYLAND,2019,1,,-,7,,,-,1,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190133
GEORGIA,2019,1,3,,23,,3,,3,,,-,8,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190132
NORTHERN MARIANA ISLANDS,2019,1,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190165
EAST SOUTH CENTRAL,2019,1,,-,20,,,-,9,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190138
CONNECTICUT,2019,1,1,,8,,1,,1,,,-,4,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190103
NON-US RESIDENTS,2019,1,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190169
NEW YORK,2019,1,,-,20,,,-,,-,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190111
EAST NORTH CENTRAL,2019,1,12,,117,,12,,28,,,-,445,,,-,,-,,EAST NORTH CENTRAL,20190114
MISSOURI,2019,1,,-,19,,,-,,-,,-,29,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190124
NEW YORK CITY,2019,1,,-,12,,,-,2,,,-,11,,,-,,-,,NEW YORK CITY,20190112
NORTH DAKOTA,2019,1,,-,4,,,-,1,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190126
TOTAL,2019,1,35,,425,,35,,114,,,-,561,,,-,,-,,TOTAL,20190170
US TERRITORIES,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190163
ALABAMA,2019,1,,-,8,,,-,1,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190139
VIRGINIA,2019,1,,-,14,,,-,4,,,-,5,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190136
NEVADA,2019,1,,-,4,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20190153
ILLINOIS,2019,1,1,,21,,1,,2,,,-,398,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190115
PACIFIC,2019,1,5,,45,,5,,14,,,-,26,,,-,,-,,PACIFIC,20190157
DELAWARE,2019,1,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190129
NEW ENGLAND,2019,1,2,,49,,2,,3,,,-,10,,,-,,-,,NEW ENGLAND,20190102
SOUTH DAKOTA,2019,1,,-,15,,,-,,-,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190127
NORTH CAROLINA,2019,1,,-,12,,,-,6,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190134
PENNSYLVANIA,2019,1,6,,20,,6,,10,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190113
ARKANSAS,2019,1,,-,5,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190144
UTAH,2019,1,,-,17,,,-,3,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190155
IOWA,2019,1,,-,40,,,-,7,,,-,75,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190121
OHIO,2019,2,13,,36,,21,,16,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190218
NORTH DAKOTA,2019,2,,-,4,,,-,1,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190226
GUAM,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190266
EAST SOUTH CENTRAL,2019,2,1,,20,,1,,19,,,-,3,,,-,,-,,EAST SOUTH CENTRAL,20190238
NORTH CAROLINA,2019,2,,-,12,,2,,9,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190234
VERMONT,2019,2,,-,10,,,-,1,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190208
PUERTO RICO,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190267
NON-US RESIDENTS,2019,2,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190269
WYOMING,2019,2,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20190256
AMERICAN SAMOA,2019,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20190264
NEBRASKA,2019,2,,-,9,,,-,5,,,-,5,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190225
ALABAMA,2019,2,,-,8,,,-,5,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20190239
ARIZONA,2019,2,,-,12,,4,,7,,,-,2,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190249
MAINE,2019,2,,-,6,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190204
CONNECTICUT,2019,2,1,,8,,3,,3,,,-,4,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190203
RHODE ISLAND,2019,2,,-,37,,,-,,-,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190207
HAWAII,2019,2,1,,1,,1,,1,,,-,1,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190260
IOWA,2019,2,,-,40,,1,,13,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190221
FLORIDA,2019,2,,-,27,,,-,13,,,-,9,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190231
EAST NORTH CENTRAL,2019,2,14,,117,,36,,52,,,-,445,,,-,,-,,EAST NORTH CENTRAL,20190214
PENNSYLVANIA,2019,2,3,,20,,9,,13,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20190213
ARKANSAS,2019,2,,-,5,,,-,,-,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190244
ILLINOIS,2019,2,,-,21,,2,,5,,,-,398,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190215
US RESIDENTS,2019,2,44,,428,,116,,241,,1,,561,,1,,3,,,US RESIDENTS,20190201
NORTHERN MARIANA ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190265
WEST NORTH CENTRAL,2019,2,3,,68,,10,,24,,,-,87,,,-,1,,,WEST NORTH CENTRAL,20190220
MONTANA,2019,2,,-,5,,1,,3,,,-,3,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190252
KANSAS,2019,2,,-,6,,,-,3,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190222
INDIANA,2019,2,,-,20,,,-,8,,,-,21,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190216
MISSISSIPPI,2019,2,1,,8,,1,,4,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20190241
MASSACHUSETTS,2019,2,4,,19,,9,,8,,,-,6,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190205
KENTUCKY,2019,2,,-,7,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190240
NEW JERSEY,2019,2,,-,12,,,-,3,,,-,8,,,-,1,,"NEW JERSEY
(40.110253, -74.655514)",,20190210
VIRGINIA,2019,2,2,,14,,3,,8,,,-,5,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190236
COLORADO,2019,2,,-,11,,1,,6,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190250
MOUNTAIN,2019,2,3,,48,,9,,25,,,-,10,,,-,1,,,MOUNTAIN,20190248
DELAWARE,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190229
TENNESSEE,2019,2,,-,10,,,-,9,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190242
IDAHO,2019,2,2,,7,,2,,3,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190251
WEST VIRGINIA,2019,2,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190237
SOUTH CAROLINA,2019,2,,-,6,,2,,3,,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190235
ALASKA,2019,2,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190258
NEW YORK,2019,2,1,,20,,1,,2,,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190211
OKLAHOMA,2019,2,,-,10,,3,,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190246
NEW HAMPSHIRE,2019,2,,-,7,,2,,,-,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190206
NEW ENGLAND,2019,2,5,,49,,14,,12,,,-,10,,,-,,-,,NEW ENGLAND,20190202
MINNESOTA,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190223
OREGON,2019,2,7,,12,,10,,9,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190261
TEXAS,2019,2,,-,53,,,-,8,,,-,40,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190247
NEVADA,2019,2,,-,6,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20190253
U.S. VIRGIN ISLANDS,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190268
NEW YORK CITY,2019,2,1,,12,,2,,4,,,-,11,,,-,,-,,NEW YORK CITY,20190212
US TERRITORIES,2019,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190263
CALIFORNIA,2019,2,2,,25,,4,,15,,1,,23,,1,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190259
WASHINGTON,2019,2,,-,35,,2,,1,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190262
MIDDLE ATLANTIC,2019,2,5,,51,,12,,22,,,-,23,,,-,1,,,MIDDLE ATLANTIC,20190209
DISTRICT OF COLUMBIA,2019,2,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190230
LOUISIANA,2019,2,,-,5,,,-,7,,,-,2,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190245
PACIFIC,2019,2,10,,45,,17,,26,,1,,26,,1,,,-,,PACIFIC,20190257
TOTAL,2019,2,44,,428,,116,,241,,1,,561,,1,,3,,,TOTAL,20190270
WEST SOUTH CENTRAL,2019,2,,-,61,,3,,15,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190243
SOUTH ATLANTIC,2019,2,3,,69,,14,,46,,,-,27,,,-,,-,,SOUTH ATLANTIC,20190228
SOUTH DAKOTA,2019,2,,-,15,,2,,,-,,-,12,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190227
MARYLAND,2019,2,,-,7,,1,,2,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190233
UTAH,2019,2,1,,18,,1,,3,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190255
NEW MEXICO,2019,2,,-,10,,,-,2,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190254
WISCONSIN,2019,2,1,,48,,8,,18,,,-,14,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190219
MISSOURI,2019,2,3,,19,,7,,2,,,-,29,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190224
MICHIGAN,2019,2,,-,16,,5,,5,,,-,5,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190217
GEORGIA,2019,2,1,,23,,6,,10,,,-,8,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190232
NEVADA,2019,3,,-,6,,,-,,-,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20190353
TOTAL,2019,3,47,,428,,210,,364,,,-,572,,2,,3,,,TOTAL,20190370
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190366
PACIFIC,2019,3,8,,45,,29,,40,,,-,26,,1,,,-,,PACIFIC,20190357
NEW YORK,2019,3,4,,20,,5,,3,,,-,9,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190311
TEXAS,2019,3,1,,53,,5,,21,,,-,40,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190347
WEST SOUTH CENTRAL,2019,3,5,,61,,12,,31,,,-,49,,,-,,-,,WEST SOUTH CENTRAL,20190343
TENNESSEE,2019,3,,-,10,,1,,13,,,-,3,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190342
WYOMING,2019,3,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(42.999627, -107.55145)",,20190356
ARKANSAS,2019,3,2,,5,,2,,1,,,-,1,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190344
KANSAS,2019,3,,-,6,,,-,3,,,-,4,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190322
SOUTH ATLANTIC,2019,3,2,,69,,21,,69,,,-,26,,,-,,-,,SOUTH ATLANTIC,20190328
NORTH CAROLINA,2019,3,,-,12,,3,,10,,,-,6,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190334
UTAH,2019,3,,-,18,,3,,3,,,-,4,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190355
OHIO,2019,3,9,,36,,30,,26,,,-,23,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190318
WASHINGTON,2019,3,1,,35,,3,,2,,,-,3,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190362
COLORADO,2019,3,1,,11,,3,,9,,,-,6,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190350
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190368
NEW MEXICO,2019,3,,-,10,,,-,2,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190354
IOWA,2019,3,,-,40,,5,,20,,,-,75,,,-,1,,"IOWA
(42.074659, -93.500061)",,20190321
NEW JERSEY,2019,3,,-,12,,,-,4,,,-,8,,,-,1,,"NEW JERSEY
(40.110253, -74.655514)",,20190310
ALASKA,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190358
MARYLAND,2019,3,,-,7,,1,,3,,,-,7,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190333
DISTRICT OF COLUMBIA,2019,3,,-,4,,,-,1,,,-,2,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190330
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190369
MINNESOTA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190323
MISSOURI,2019,3,1,,19,,9,,7,,,-,29,,1,,,-,"MISSOURI
(38.3675, -92.477244)",,20190324
NEW ENGLAND,2019,3,2,,49,,19,,21,,,-,10,,,-,,-,,NEW ENGLAND,20190302
RHODE ISLAND,2019,3,,-,37,,,-,1,,,-,2,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190307
IDAHO,2019,3,,-,7,,2,,4,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20190351
NORTH DAKOTA,2019,3,,-,4,,,-,2,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20190326
MASSACHUSETTS,2019,3,,-,19,,7,,13,,,-,6,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190305
PUERTO RICO,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190367
OKLAHOMA,2019,3,2,,10,,5,,2,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20190346
WEST VIRGINIA,2019,3,,-,4,,,-,,-,,-,2,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190337
OREGON,2019,3,3,,12,,15,,14,,,-,2,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190361
ARIZONA,2019,3,,-,12,,4,,7,,,-,2,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190349
MAINE,2019,3,,-,6,,,-,2,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190304
MIDDLE ATLANTIC,2019,3,11,,51,,32,,32,,,-,23,,,-,1,,,MIDDLE ATLANTIC,20190309
